epoch,training_loss,clean_validation_loss,learning_rate,original_selected,offline_selected,online_rgb_applied,is_best,epochs_without_improvement
0,4.8384253487,4.8531972204,1.41978210744e-05,378,0,187,True,0
1,4.8181892955,4.8281047322,2.07241951661e-05,378,0,199,True,0
2,4.8015171737,4.7991533007,3.13799027955e-05,378,0,185,True,0
3,4.7772007468,4.7913493928,4.58396753685e-05,378,0,192,True,0
4,4.7510629154,4.7666134062,6.36621240947e-05,378,0,192,True,0
5,4.7261330539,4.7438058671,8.43032135103e-05,378,0,172,True,0
6,4.7248874039,4.7322708675,0.000107132868319,378,0,168,True,0
7,4.7019863936,4.7472146443,0.000131454206626,378,0,182,False,1
8,4.7029558641,4.7072188059,0.00015652481246,378,0,186,True,0
9,4.6757150201,4.7263739813,0.00018157939824,378,0,186,False,1
10,4.6862021502,4.7110574904,0.000205853165402,378,0,209,False,2
11,4.6873609502,4.7550899506,0.000228605150098,378,0,188,False,3
12,4.6779986815,4.6959014529,0.000249140841336,378,0,192,True,0
13,4.6727272922,4.7071877707,0.000266833381129,378,0,180,False,1
14,4.6661078186,4.6893572035,0.000281142699523,378,0,206,True,0
15,4.6653599260,4.7138816425,0.000291632000384,378,0,193,False,1
16,4.6606670132,4.6667961575,0.000297981094734,378,0,196,True,0
17,4.6626191846,4.6753001258,0.000299999271486,378,0,201,False,1
18,4.6574157079,4.7104854220,0.000299544908737,378,0,182,False,2
19,4.6604875232,4.7464771316,0.000298254233553,378,0,191,False,3
20,4.6610773581,4.6617966107,0.000296134463913,378,0,196,True,0
21,4.6588070632,4.6690699350,0.000293197454429,378,0,188,False,1
22,4.6522865472,4.6624244417,0.000289459630048,378,0,162,False,2
23,4.6555403326,4.6764897301,0.000284941894202,378,0,205,False,3
24,4.6509080160,4.7047184535,0.000279669511901,378,0,175,False,4
25,4.6531131860,4.6737638156,0.000273671968446,378,0,188,False,5
26,4.6500542580,4.6543909345,0.000266982804533,378,0,195,True,0
27,4.6530502864,4.6584513528,0.00025963942868,378,0,212,False,1
28,4.6482572682,4.6556756701,0.000251682908024,378,0,205,False,2
29,4.6520625876,4.6560532434,0.000243157738654,378,0,179,False,3
30,4.6476210614,4.6728049460,0.000234111596778,378,0,190,False,4
31,4.6515543675,4.6815100715,0.000224595072088,378,0,196,False,5
32,4.6479949724,4.6720923923,0.000214661384853,378,0,196,False,6
33,4.6424191465,4.6518590927,0.00020436608828,378,0,192,True,0
34,4.6444246681,4.6755485807,0.000193766757843,378,0,189,False,1
35,4.6434470762,4.6561180251,0.000182922669299,378,0,190,False,2
36,4.6442172262,4.6681190672,0.000171894467189,378,0,181,False,3
37,4.6464351094,4.6614755222,0.000160743825692,378,0,179,False,4
38,4.6456408400,4.6561524028,0.00014953310372,378,0,183,False,5
39,4.6450750739,4.6720172610,0.000138324996176,378,0,191,False,6
40,4.6460976878,4.6582218806,0.000127182183346,378,0,183,False,7
41,4.6405963065,4.6477384703,0.000116166980357,378,0,184,True,0
42,4.6411128927,4.6498009818,0.000105340988693,378,0,175,False,1
43,4.6446522531,4.6562951724,9.47647516911e-05,378,0,183,False,2
44,4.6440306971,4.6484017281,8.44974159589e-05,378,0,179,False,3
45,4.6390856284,4.6542174158,7.45964006024e-05,378,0,187,False,4
46,4.6396681695,4.6471281370,6.51170761157e-05,378,0,188,True,0
47,4.6383156928,4.6479252997,5.61124547265e-05,378,0,168,False,1
48,4.6401176125,4.6455552555,4.76328939302e-05,378,0,178,True,0
49,4.6413874424,4.6488590876,3.97258148705e-05,378,0,209,False,1
50,4.6388700046,4.6487251600,3.24354371409e-05,378,0,183,False,2
51,4.6393563583,4.6507969220,2.58025314908e-05,378,0,195,False,3
52,4.6406321248,4.6477259500,1.98641918192e-05,378,0,192,False,4
53,4.6404224149,4.6479783467,1.46536277304e-05,378,0,184,False,5
54,4.6348904731,4.6455333573,1.01999788123e-05,378,0,200,True,0
55,4.6368508188,4.6444998741,6.52815167632e-06,378,0,188,True,0
56,4.6373364257,4.6470234689,3.6586806692e-06,378,0,181,False,1
57,4.6391889759,4.6440370832,1.60761303676e-06,378,0,171,True,0
58,4.6369717992,4.6450129191,3.86419181199e-07,378,0,200,False,1
59,4.6397030114,4.6510032109,1.92851392237e-09,378,0,185,False,2
