epoch,training_total_loss,validation_total_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,is_best,epochs_without_improvement
0,4.8417911850,4.8428085810,1.27902315635e-05,304,74,72,86,60,True,0
1,4.8110454739,4.8002555154,1.5152253116e-05,273,70,92,77,84,True,0
2,4.7904633868,4.7786474538,1.90601404356e-05,305,78,69,74,70,True,0
3,4.7770647651,4.7624235834,2.44710027459e-05,297,74,78,77,70,True,0
4,4.7639291815,4.7484683433,3.13254534608e-05,290,76,78,77,75,True,0
5,4.7575224166,4.7342644729,3.95482619791e-05,298,63,67,83,85,True,0
6,4.7458052475,4.7198876901,4.90491793723e-05,312,64,79,73,68,True,0
7,4.7341597512,4.7198942853,5.97239289073e-05,308,70,69,78,71,False,1
8,4.7234627929,4.6976950943,7.14553505281e-05,293,64,72,97,70,True,0
9,4.7083660164,4.6903646023,8.41146867396e-05,275,79,81,76,85,True,0
10,4.7027380578,4.6891479183,9.75629957774e-05,303,63,89,64,77,True,0
11,4.6979151796,4.6685228719,0.000111652676554,321,66,81,70,58,True,0
12,4.6955779255,4.6702633276,0.000126229088647,295,77,79,66,79,False,1
13,4.6980904829,4.6660002485,0.000141132249543,305,64,69,79,79,True,0
14,4.6841240729,4.6873337139,0.000156198590517,305,81,65,69,76,False,1
15,4.6825460844,4.6840752874,0.000171262751874,295,75,85,72,69,False,2
16,4.6827462920,4.6630564108,0.000186159397838,299,64,79,70,84,True,0
17,4.6774483879,4.6686923349,0.00020072503119,298,77,74,80,67,False,1
18,4.6790716056,4.6519395283,0.000214799787717,284,77,78,76,81,True,0
19,4.6731420011,4.6559952018,0.000228229190798,298,66,75,80,77,False,1
20,4.6772669466,4.6564637469,0.000240865846846,285,83,76,84,68,False,2
21,4.6761051088,4.6743407993,0.000252571063021,303,67,79,77,70,False,3
22,4.6769534309,4.6526661229,0.000263216369444,311,67,67,73,78,False,4
23,4.6680778081,4.6514087219,0.000272684929211,298,70,83,74,71,True,0
24,4.6739588232,4.6493165338,0.000280872820727,309,72,71,64,80,True,0
25,4.6678876237,4.6520937077,0.000287690178294,316,67,89,64,60,False,1
26,4.6663504255,4.6662026876,0.000293062178424,290,81,77,80,68,False,2
27,4.6630085843,4.6463000929,0.00029692986106,300,73,77,80,66,True,0
28,4.6585516130,4.6503519640,0.00029925077669,296,87,73,69,71,False,1
29,4.6641829446,4.6651714065,0.000299999895385,315,68,62,64,87,False,2
30,4.6647297328,4.6444998345,0.000299840907969,296,65,84,68,83,True,0
31,4.6609314720,4.6430798010,0.000299380162113,303,77,60,75,81,True,0
32,4.6614241504,4.6474532338,0.0002986185857,298,72,70,66,90,False,1
33,4.6563578996,4.6454176779,0.000297557712442,306,65,76,80,69,False,2
34,4.6609523824,4.6520695253,0.000296199678797,315,75,76,63,67,False,3
35,4.6598019632,4.6486552536,0.000294547219663,278,80,71,78,89,False,4
36,4.6540455562,4.6390410460,0.000292603662875,285,75,69,83,84,True,0
37,4.6495566400,4.6437908829,0.000290372922495,262,90,83,82,79,False,1
38,4.6491001212,4.6432390027,0.00028785949094,308,71,65,74,78,False,2
39,4.6551485638,4.6526154357,0.000285068429924,284,83,71,78,80,False,3
40,4.6507860574,4.6443547521,0.000282005360274,298,77,75,69,77,False,4
41,4.6467083093,4.6501214411,0.000278676450605,291,86,78,63,78,False,5
42,4.6518015734,4.6540896366,0.000275088404897,297,92,83,53,71,False,6
43,4.6517624119,4.6482935943,0.000271248448997,295,79,63,75,84,False,7
44,4.6523684623,4.6443171130,0.000267164316065,299,77,72,77,71,False,8
45,4.6506485491,4.6417150312,0.000262844231001,299,82,85,58,72,False,9
46,4.6469610681,4.6380020179,0.000258296893882,282,84,74,84,72,True,0
47,4.6494838823,4.6687871140,0.00025353146244,303,72,72,68,81,False,1
48,4.6409357314,4.6428821180,0.000248557533618,300,74,73,73,76,False,2
49,4.6417850232,4.6404024533,0.000243385124249,298,75,66,97,60,False,3
50,4.6450781118,4.6490390084,0.000238024650876,288,74,81,85,68,False,4
51,4.6486605446,4.6404998581,0.000232486908778,291,66,58,94,87,False,5
52,4.6441021990,4.6372496493,0.000226783050232,297,69,86,58,86,True,0
53,4.6453108179,4.6393545262,0.00022092456205,315,72,77,58,74,False,1
54,4.6402260345,4.6403793855,0.000214923242447,310,58,81,67,80,False,2
55,4.6415129828,4.6400447821,0.000208791177283,286,72,75,76,87,False,3
56,4.6410005077,4.6368530137,0.000202540715719,300,91,65,70,70,True,0
57,4.6378325264,4.6442976122,0.000196184445355,284,77,76,80,79,False,1
58,4.6327485622,4.6403262398,0.000189735166872,274,78,72,79,93,False,2
59,4.6378415895,4.6421988289,0.00018320586826,310,69,58,86,73,False,3
60,4.6365110122,4.6408815508,0.000176609698657,284,92,67,81,72,False,4
61,4.6440129056,4.6461918385,0.00016995994187,287,77,73,77,82,False,5
62,4.6331618488,4.6385669151,0.000163269989625,312,61,66,78,79,False,6
63,4.6394857752,4.6385743463,0.000156553314595,306,71,75,80,64,False,7
64,4.6316858266,4.6374195830,0.000149823443269,279,90,78,88,61,False,8
65,4.6382250498,4.6414944971,0.000143093928714,303,79,77,63,74,False,9
66,4.6352344423,4.6417938765,0.000136378323276,298,75,69,78,76,False,10
