epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,4.8505960621,4.8505960621,0.0000000000,0.0000000000,4.8501758303,4.8501758303,0.0000000000,0.0000000000,1.27910408698e-05,185,193,True,0
1,4.8499474172,4.8499474172,0.0000000000,0.0000000000,4.8516950289,4.8516950289,0.0000000000,0.0000000000,1.51554725672e-05,190,188,False,1
2,4.8458854156,4.8458854156,0.0000000000,0.0000000000,4.8362648782,4.8362648782,0.0000000000,0.0000000000,1.90673178408e-05,196,182,True,0
3,4.8332477877,4.8332477877,0.0000000000,0.0000000000,4.8308963367,4.8308963367,0.0000000000,0.0000000000,2.44835985032e-05,191,187,True,0
4,4.8131098344,4.8131098344,0.0000000000,0.0000000000,4.8121050835,4.8121050835,0.0000000000,0.0000000000,3.13448076188e-05,180,198,True,0
5,4.7763775064,4.7763775064,0.0000000000,0.0000000000,4.7918065071,4.7918065071,0.0000000000,0.0000000000,3.95755632872e-05,192,186,True,0
6,4.7442059593,4.7442059593,0.0000000000,0.0000000000,4.7764742215,4.7764742215,0.0000000000,0.0000000000,4.908543684e-05,173,205,True,0
7,4.7297975323,4.7297975323,0.0000000000,0.0000000000,4.7666720118,4.7666720118,0.0000000000,0.0000000000,5.97699463517e-05,188,190,True,0
8,4.7238464431,4.7238464431,0.0000000000,0.0000000000,4.7512483597,4.7512483597,0.0000000000,0.0000000000,7.15117045486e-05,193,185,True,0
9,4.7028251148,4.7028251148,0.0000000000,0.0000000000,4.7367999077,4.7367999077,0.0000000000,0.0000000000,8.41817085055e-05,181,197,True,0
10,4.6977580010,4.6977580010,0.0000000000,0.0000000000,4.7426886786,4.7426886786,0.0000000000,0.0000000000,9.76407569592e-05,188,190,False,1
11,4.6858723201,4.6858723201,0.0000000000,0.0000000000,4.7139508565,4.7139508565,0.0000000000,0.0000000000,0.000111740979668,209,169,True,0
12,4.6878206213,4.6878206213,0.0000000000,0.0000000000,4.7440176555,4.7440176555,0.0000000000,0.0000000000,0.000126327462015,197,181,False,1
13,4.6874255402,4.6874255402,0.0000000000,0.0000000000,4.7017196201,4.7017196201,0.0000000000,0.0000000000,0.000141239947004,182,196,True,0
14,4.6713391511,4.6713391511,0.0000000000,0.0000000000,4.7500995227,4.7500995227,0.0000000000,0.0000000000,0.000156314595954,178,200,False,1
15,4.6808838844,4.6808838844,0.0000000000,0.0000000000,4.7566702979,4.7566702979,0.0000000000,0.0000000000,0.00017138578854,188,190,False,2
16,4.6694372243,4.6694372243,0.0000000000,0.0000000000,4.7094131697,4.7094131697,0.0000000000,0.0000000000,0.000186287942409,180,198,False,3
17,4.6656428115,4.6656428115,0.0000000000,0.0000000000,4.7251354990,4.7251354990,0.0000000000,0.0000000000,0.000200857332385,196,182,False,4
18,4.6659274808,4.6659274808,0.0000000000,0.0000000000,4.6915939513,4.6915939513,0.0000000000,0.0000000000,0.000214933889261,184,194,True,0
19,4.6613426259,4.6613426259,0.0000000000,0.0000000000,4.6684486934,4.6684486934,0.0000000000,0.0000000000,0.000228362958428,204,174,True,0
20,4.6598428343,4.6598428343,0.0000000000,0.0000000000,4.7080125990,4.7080125990,0.0000000000,0.0000000000,0.000240996999018,206,172,False,1
21,4.6622495374,4.6622495374,0.0000000000,0.0000000000,4.6936112631,4.6936112631,0.0000000000,0.0000000000,0.000252697204885,190,188,False,2
22,4.6559134539,4.6559134539,0.0000000000,0.0000000000,4.7005935533,4.7005935533,0.0000000000,0.0000000000,0.000263335029626,192,186,False,3
23,4.6549432921,4.6549432921,0.0000000000,0.0000000000,4.6791292418,4.6791292418,0.0000000000,0.0000000000,0.000272793598879,188,190,False,4
24,4.6546050581,4.6546050581,0.0000000000,0.0000000000,4.6623635156,4.6623635156,0.0000000000,0.0000000000,0.000280968994381,194,184,True,0
25,4.6520454265,4.6520454265,0.0000000000,0.0000000000,4.6582020669,4.6582020669,0.0000000000,0.0000000000,0.000287771395688,197,181,True,0
26,4.6595371463,4.6595371463,0.0000000000,0.0000000000,4.6647056761,4.6647056761,0.0000000000,0.0000000000,0.000293126067003,184,194,False,1
27,4.6562925142,4.6562925142,0.0000000000,0.0000000000,4.6731587546,4.6731587546,0.0000000000,0.0000000000,0.000296974178272,191,187,False,2
28,4.6549746776,4.6549746776,0.0000000000,0.0000000000,4.6667105175,4.6667105175,0.0000000000,0.0000000000,0.000299273451532,187,191,False,3
29,4.6544563682,4.6544563682,0.0000000000,0.0000000000,4.6837781361,4.6837781361,0.0000000000,0.0000000000,0.000299999737735,178,200,False,4
30,4.6598544524,4.6598544524,0.0000000000,0.0000000000,4.6817750204,4.6817750204,0.0000000000,0.0000000000,0.000299836114086,185,193,False,5
31,4.6587330147,4.6587330147,0.0000000000,0.0000000000,4.6621016729,4.6621016729,0.0000000000,0.0000000000,0.000299370741653,201,177,False,6
32,4.6520937864,4.6520937864,0.0000000000,0.0000000000,4.6691059113,4.6691059113,0.0000000000,0.0000000000,0.000298604557633,210,168,False,7
33,4.6497880290,4.6497880290,0.0000000000,0.0000000000,4.6826379367,4.6826379367,0.0000000000,0.0000000000,0.000297539105019,190,188,False,8
34,4.6515879631,4.6515879631,0.0000000000,0.0000000000,4.6660947754,4.6660947754,0.0000000000,0.0000000000,0.000296176529491,194,184,False,9
35,4.6544152492,4.6544152492,0.0000000000,0.0000000000,4.6592228345,4.6592228345,0.0000000000,0.0000000000,0.000294519575094,193,185,False,10
