epoch,lr,train_loss,val_loss,val_hr_mae
1,0.0003,3.3492785320103726,3.0516635904607083,4.332805957990823
2,0.0003,3.121343448228925,3.063062411775741,4.391293573513585
3,0.0003,3.117326791175058,3.059761037531587,4.422811337017857
4,0.0003,3.115284814745466,3.061758557098875,4.448291444733753
5,0.0003,3.1126551865194445,3.0663385952088804,4.706315096450276
6,0.0003,3.1114106783465805,3.0662486571067946,4.6432068158000455
7,0.00015,3.108932690130216,3.0698391832585856,4.62225138146741
8,0.00015,3.1067251603848467,3.0717579489460367,4.608299971297174
9,0.00015,3.1059407604074925,3.073665704030016,4.545073962368022
10,0.00015,3.1055209420997407,3.0739625802974113,4.594212327365464
11,0.00015,3.103685731798689,3.0750378273085333,4.567130648318919
12,0.00015,3.105282618175043,3.0771968299915775,4.503869167531665
13,7.5e-05,3.1056008877264003,3.076849911742492,4.523362415799943
14,7.5e-05,3.1012434200037307,3.0782616895945583,4.509306276637813
15,7.5e-05,3.1043997193274095,3.078818015775171,4.509306276637813
16,7.5e-05,3.1029180675577894,3.0800188490466303,4.516335892252757
17,7.5e-05,3.105883821416124,3.079835219146385,4.5233649456735625
18,7.5e-05,3.1046122471640043,3.07986511911537,4.5233649456735625
19,3.75e-05,3.1038463489140304,3.0801007568892076,4.530394280191437
20,3.75e-05,3.104158467444304,3.0810523466630415,4.530394280191437
21,3.75e-05,3.1038321800766706,3.0808218716457834,4.530394280191437
22,3.75e-05,3.103722579902578,3.080838847853027,4.530394280191437
23,3.75e-05,3.1055106632731784,3.0810743725623833,4.54445238703305
24,3.75e-05,3.099621150293083,3.080943154752422,4.551469873465884
25,1.875e-05,3.101876285766887,3.0812044212945513,4.551430373741515
26,1.875e-05,3.101975955963135,3.0811701953802135,4.551430373741515
27,1.875e-05,3.1022977084757013,3.0812307503475913,4.579599059622424
28,1.875e-05,3.1039926785620575,3.0819265567597207,4.572621072913959
29,1.875e-05,3.1006408767165423,3.0815499713740397,4.579599059622424
30,1.875e-05,3.101861591873882,3.0815635471558505,4.579599059622424
31,1e-05,3.101820660617864,3.0818378031533125,4.579599059622424
