model,old,prism,toolbox
branch3_MMiUNet,1.565547995497145,0.803563615585103,0.4626365039963783
three_branch_mi_static_linear,1.6512248185282616,1.7582186201813288,0.44820268027204596
three_branch_mmi_static_linear,2.552044623521408,7.1367347896845255,3.121421268247052
