model,protocol,status,eval_val_model_mae,eval_val_chrom_mae,eval_test_model_mae,eval_test_chrom_mae,loss_weights,aux_loss_weights,force_disable_aux,params,epochs_run,reach_samples,best_val_hr_mae
Step4_SE_StratA_noAUX,old,no_csv,,,,,"{'pearson': 1.0, 'concentration': 1.0}",None,True,170053,74,96,1.683947378374466
Step4_SE_StratA_noAUX,prism,ok,1.5165647060493364,2.052269848240953,,,"{'pearson': 1.0, 'concentration': 1.0}",None,True,170053,74,96,1.683947378374466
Step4_SE_StratA_noAUX,toolbox,ok,1.0468313165997245,0.6642781291645468,,,"{'pearson': 1.0, 'concentration': 1.0}",None,True,170053,74,96,1.683947378374466
