epoch,training_total_loss,validation_total_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,is_best,epochs_without_improvement
71,4.6369881024,4.6407872518,0.000103381547792,189,49,48,47,45,True,0
72,4.6366308782,4.6411600522,9.70320673025e-05,202,41,43,48,44,False,1
73,4.6351611652,4.6427074614,9.07892583887e-05,205,39,43,44,47,False,2
74,4.6363517090,4.6402489980,8.46656932369e-05,188,52,32,50,56,True,0
75,4.6355971558,4.6414323534,7.86737038924e-05,194,49,47,41,47,False,1
76,4.6367718858,4.6499852180,7.28253574243e-05,200,51,45,27,55,False,2
77,4.6348613986,4.6432673727,6.7132431624e-05,189,47,49,52,41,False,3
78,4.6365373021,4.6402455194,6.16063912866e-05,194,44,39,47,54,True,0
79,4.6320131140,4.6383188611,5.62583651217e-05,202,37,47,41,51,True,0
80,4.6345848936,4.6392633484,5.10991233425e-05,196,49,45,44,44,False,1
81,4.6355689392,4.6391289439,4.61390559751e-05,192,55,43,55,33,False,2
82,4.6335712488,4.6418260938,4.13881519353e-05,187,48,58,35,50,False,3
83,4.6345635671,4.6404506456,3.68559789114e-05,206,43,41,50,38,False,4
84,4.6340883825,4.6397189322,3.25516640969e-05,206,42,36,52,42,False,5
85,4.6332603308,4.6395756449,2.84838758088e-05,201,43,41,49,44,False,6
86,4.6369782604,4.6394311405,2.46608060315e-05,177,61,51,44,45,False,7
87,4.6347395428,4.6395819709,2.10901539186e-05,186,58,42,44,48,False,8
88,4.6357146546,4.6395339058,1.77791102885e-05,189,49,52,48,40,False,9
89,4.6356669809,4.6413754282,1.47343431422e-05,175,61,39,50,53,False,10
