epoch,lr,train_loss,val_loss,val_hr_mae
1,0.0003,3.348053398725063,2.9501685890948535,3.3181360768668657
2,0.0003,3.0723538813659803,2.8668410700883737,2.604094753794939
3,0.0003,3.0486261437656346,2.844323794125375,2.444956658527693
4,0.0003,3.041907877398119,2.8402584870891343,2.3318149593441637
5,0.0003,3.0356465502663803,2.837571191027851,2.2985577678100726
6,0.0003,3.033721179252989,2.834387559187281,2.2921259990364375
7,0.0003,3.032907698606942,2.831809848483333,2.288160672617875
8,0.0003,3.031972255241064,2.8319357899740565,2.255275970259695
9,0.0003,3.030454145975568,2.83100859825494,2.2737528935077256
10,0.0003,3.0318759360932614,2.829538164378505,2.2651228306229645
11,0.0003,3.032428516849429,2.834893287021342,2.2687501641002923
12,0.0003,3.0327435147881374,2.8312446357817294,2.2860240073789218
13,0.0003,3.0298497280455323,2.8298988905527995,2.2367449521979266
14,0.0003,3.030320002738961,2.8312920976472404,2.296158089472465
15,0.0003,3.030243810035545,2.831196008653736,2.3118607020640543
16,0.00015,3.031549730470257,2.831637878693715,2.2949263496079313
17,0.00015,3.0315645088233905,2.8297016970410573,2.228441361862391
18,0.00015,3.0306326493042026,2.830576512267951,2.2801419235086606
19,0.00015,3.029196431978164,2.829853660194318,2.243183445104026
20,0.00015,3.030650492698847,2.8295866424312375,2.2272092278062052
21,0.00015,3.0301938480859856,2.827049776311968,2.2148850094572907
22,0.00015,3.0268383201298517,2.829802933165411,2.2616654559468055
23,0.00015,3.030871371979454,2.830075504236549,2.2727546624524733
24,0.00015,3.030241562655975,2.832680695002471,2.308477064884412
25,0.00015,3.0296037117199153,2.8309166407534225,2.2813748705459576
26,0.00015,3.0300700879388063,2.830753428880777,2.2801419235086606
27,7.5e-05,3.03086358085192,2.8299507662367502,2.2715225037984785
28,7.5e-05,3.030114312494767,2.8295701102746693,2.2530405175535084
29,7.5e-05,3.0293704551015126,2.830292214073531,2.2899989959581433
30,7.5e-05,3.029174916302324,2.8291698677190835,2.2382533321126803
31,7.5e-05,3.0282731491241286,2.8306964677171753,2.3035489474491317
32,7.5e-05,3.030799447259681,2.828041574648297,2.2185995784400423
33,3.75e-05,3.030898007859665,2.8286068510378604,2.2457014031846554
34,3.75e-05,3.03016609039476,2.8299870504345117,2.2407654617658013
35,3.75e-05,3.0291304082373007,2.8296517099832026,2.2481547183780535
36,3.75e-05,3.026633081584342,2.830082022107762,2.2924632886683236
37,3.75e-05,3.0298753812495662,2.8299931157530285,2.2813740821626554
38,3.75e-05,3.0283646605784833,2.8290786447050302,2.233374539239469
39,1.875e-05,3.0297931618748706,2.8295153039262,2.2518083834973233
40,1.875e-05,3.0296714394259268,2.829399296973792,2.2419513110478406
41,1.875e-05,3.02941213373868,2.8303404177901816,2.2899989959581433
42,1.875e-05,3.029337775773399,2.830205912344832,2.2899989959581433
43,1.875e-05,3.0291042702047197,2.829369803103238,2.2419513110478406
44,1.875e-05,3.027748328758265,2.8297336520243106,2.255504785665879
45,1e-05,3.030991026722763,2.8292379192047092,2.234600455376713
46,1e-05,3.028870289069037,2.829652903995354,2.255504785665879
47,1e-05,3.030990213400516,2.829851454225142,2.255504785665879
48,1e-05,3.029444588196529,2.8295329315470066,2.2530405175535084
49,1e-05,3.0298449035754613,2.8298350893963495,2.255504785665879
50,1e-05,3.0307526217978222,2.8301624927454947,2.2641297240591762
51,1e-05,3.0308582738289953,2.830296217954588,2.2899989959581433
