epoch,training_total_loss,validation_total_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,is_best,epochs_without_improvement
0,4.8389017771,4.8535096032,1.27910408698e-05,202,47,40,42,47,True,0
1,4.8242596747,4.8282402811,1.51554725672e-05,189,36,51,54,48,True,0
2,4.8104223398,4.8060372171,1.90673178408e-05,188,56,38,42,54,True,0
3,4.7916412404,4.8013325010,2.44835985032e-05,193,38,44,46,57,True,0
4,4.7765372317,4.7897248858,3.13448076188e-05,196,46,59,41,36,True,0
5,4.7586173860,4.7698323931,3.95755632872e-05,202,51,45,40,40,True,0
6,4.7490228446,4.7654278619,4.908543684e-05,195,39,46,54,44,True,0
7,4.7300246557,4.7526901790,5.97699463517e-05,196,55,49,42,36,True,0
8,4.7208880445,4.7782878785,7.15117045486e-05,198,46,46,40,48,False,1
9,4.6955915456,4.7393398966,8.41817085055e-05,199,56,45,38,40,True,0
10,4.7042509286,4.7937664304,9.76407569592e-05,170,56,55,54,43,False,1
