evaluation_run,checkpoint,dataset,protocol,aggregation,split_begin,split_end,number_of_recordings,number_of_measurements,mae_bpm,mae_standard_error_bpm,recording_macro_rmse_bpm,accuracy_within_5_bpm_percent,completion_status
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,BH-rPPG,Official,recording,0.0,1.0,105,105,2.376237623762377,0.3653314712953808,2.376237623762377,94.28571428571428,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,5.016966786714686,0.5483031276811267,7.6711303326446165,82.34078527146346,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,4.4600830078125,0.5473766086173087,5.99465931343746,81.64435946462714,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,COHFACE,Official,recording,0.0,1.0,160,160,5.16089108910891,0.6545848544899477,5.16089108910891,74.375,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,11.362233367126278,0.6096736354852224,15.969447133155398,54.380004853190975,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,9.161002022879464,0.5990088927670648,12.21259170575425,58.88888888888889,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,PURE,Official,recording,0.8,1.0,12,12,0.3150315031503137,0.0768598167263693,0.3150315031503137,100.0,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,PURE,Old,window_to_recording,0.8,1.0,12,735,0.4873271966751935,0.050078642014025496,0.8208267704597523,99.72789115646259,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,PURE,PRISM,window_to_recording,0.8,1.0,12,77,0.6265367780412946,0.1963130961694594,1.022562317450003,98.7012987012987,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,TokyoTech,Official,recording,0.0,1.0,9,9,0.6000600060006036,0.23153989204500888,0.6000600060006036,100.0,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,TokyoTech,Old,window_to_recording,0.0,1.0,9,1521,2.5082182774490467,1.0422285347246072,4.070816557942779,92.63642340565418,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,TokyoTech,PRISM,window_to_recording,0.0,1.0,9,153,2.0917107077205888,0.9635416262353224,3.4501397366337168,92.81045751633987,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,UBFC-PHYS,Official,recording,0.0,1.0,60,60,7.902790279027901,1.4101837836872797,7.902790279027901,63.33333333333333,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,UBFC-PHYS,Old,window_to_recording,0.0,1.0,60,10140,17.23422090729783,1.562955232155358,22.946885637081344,45.21696252465483,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,UBFC-PHYS,PRISM,window_to_recording,0.0,1.0,60,1020,14.984705307904415,1.441593845144885,19.91757472669047,45.88235294117647,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,UBFC-rPPG,Official,recording,0.0,1.0,42,42,1.3887102996013871,0.366021833448724,1.3887102996013871,92.85714285714286,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,UBFC-rPPG,Old,window_to_recording,0.0,1.0,42,2280,2.545864165092653,0.4086363492914862,5.932244181282216,94.12280701754386,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED100,UBFC-rPPG,PRISM,window_to_recording,0.0,1.0,42,239,1.7949131556919642,0.4135113062471974,2.653397007651444,94.56066945606695,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,BH-rPPG,Official,recording,0.0,1.0,105,105,2.7825639706827827,0.5839383127930158,2.7825639706827827,93.33333333333333,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,5.6769214352407635,0.7563378607057413,8.136429798601787,81.25117414991546,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,4.187465122767857,0.6167315053389181,5.289417175987139,85.27724665391969,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,COHFACE,Official,recording,0.0,1.0,160,160,5.056255625562557,0.6707923953036959,5.056255625562557,76.875,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,11.68856660734231,0.7347653341997625,15.159210028769014,53.00897840330017,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,9.31660897391183,0.6562877362793215,11.749334420607989,56.17283950617284,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,PURE,Official,recording,0.8,1.0,12,12,0.27002700270026797,0.07795008134873374,0.27002700270026797,100.0,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,PURE,Old,window_to_recording,0.8,1.0,12,735,0.6253222752633593,0.051222297633645456,0.9548189008513858,99.72789115646259,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,PURE,PRISM,window_to_recording,0.8,1.0,12,77,0.6302969796316965,0.060643174916309266,0.7899429677201096,100.0,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,TokyoTech,Official,recording,0.0,1.0,9,9,0.7200720072007224,0.2814530908984949,0.7200720072007224,100.0,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,TokyoTech,Old,window_to_recording,0.0,1.0,9,1521,1.3491124260355027,0.39981702718385176,2.112083471902226,95.20052596975674,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,TokyoTech,PRISM,window_to_recording,0.0,1.0,9,153,0.8896771599264706,0.35715271902681595,1.1039893725185905,96.73202614379085,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,UBFC-PHYS,Official,recording,0.0,1.0,60,60,7.38973897389739,1.3461381985104712,7.38973897389739,65.0,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,UBFC-PHYS,Old,window_to_recording,0.0,1.0,60,10140,17.44585798816568,1.5109060982551346,22.89710352837832,44.260355029585796,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,UBFC-PHYS,PRISM,window_to_recording,0.0,1.0,60,1020,15.286937040441178,1.4202538694147628,19.961666810838214,44.80392156862745,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,UBFC-rPPG,Official,recording,0.0,1.0,42,42,1.1186832969011187,0.2482661626845079,1.1186832969011187,95.23809523809523,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,UBFC-rPPG,Old,window_to_recording,0.0,1.0,42,2280,1.2963972923358476,0.18373091641376235,2.7270795843388904,97.80701754385966,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED101,UBFC-rPPG,PRISM,window_to_recording,0.0,1.0,42,239,0.8973039899553571,0.24587379557842745,1.3919621519906047,98.74476987447699,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,BH-rPPG,Official,recording,0.0,1.0,105,105,4.058120097724059,0.8994024239988714,4.058120097724059,89.52380952380953,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,BH-rPPG,Old,window_to_recording,0.0,1.0,105,5323,11.67746565292784,1.4334900058658933,16.362500541026712,73.99962427202705,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,BH-rPPG,PRISM,window_to_recording,0.0,1.0,105,523,8.242989676339286,1.1260914074790906,11.077882515855817,77.43785850860421,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,COHFACE,Official,recording,0.0,1.0,160,160,7.108460846084609,0.8515340102675887,7.108460846084609,68.75,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,COHFACE,Old,window_to_recording,0.0,1.0,160,8242,19.61654564918162,0.7822874157711625,28.425783885215242,42.63528269837418,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,COHFACE,PRISM,window_to_recording,0.0,1.0,160,810,14.442967006138394,0.8190765862505914,19.4237610168868,47.28395061728395,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,PURE,Official,recording,0.8,1.0,12,12,0.22502250225022338,0.07685981672636907,0.22502250225022338,100.0,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,PURE,Old,window_to_recording,0.8,1.0,12,735,0.6281807897086765,0.05692400265975893,0.9589295388167564,99.72789115646259,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,PURE,PRISM,window_to_recording,0.8,1.0,12,77,0.6733485630580356,0.15407552017718473,0.9304483687110351,98.7012987012987,PASSED
evaluation_protocols_pure_a4_pilot,PURE_A4_L0_SEED102,TokyoTech,Official,recording,0.0,1.0,9,9,1.9801980198019844,1.13536681238671,1.9801980198019844,88.88888888888889,PASSED
