epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
27,1.1688382361,1.0598512005,4.6291195299,1.9137360028,0.4629918110,0.9681503971,1.0366868553,4.6219837098,1.5216260422,0.1400467208,0.000296974178272,184,60,51,45,38,194,True,0
28,1.0708950711,1.0602893520,4.6259606982,1.7176743380,0.4058958326,1.0503296103,1.0526299397,4.6261166255,1.6796072347,0.2307136908,0.000299273451532,195,45,43,47,48,183,False,1
29,1.1862399912,1.0220830926,4.6296405843,1.9636467165,0.5113421122,0.9940474448,0.9773728586,4.6219319071,1.5971457504,0.1884687358,0.000299999737735,175,51,60,54,38,203,False,2
30,1.0568838675,1.0260458649,4.6246941380,1.7033493645,0.3952300372,0.9876800571,1.0172657354,4.6241125652,1.5684538103,0.1978119829,0.000299836114086,179,47,45,58,49,199,False,3
31,1.1487648623,1.0410141863,4.6297161213,1.8811240392,0.4764469521,0.9654541720,1.0745124556,4.6210739000,1.5011033671,0.1226189813,0.000299370741653,172,52,43,59,52,206,True,0
32,1.1346673101,1.0182554318,4.6280269421,1.8620323901,0.4178179028,1.0066444039,1.0328328223,4.6227526619,1.6001556487,0.1905644274,0.000298604557633,177,52,47,60,42,201,False,1
33,1.0318958908,1.0170235060,4.6238583282,1.6569823342,0.3383628564,1.0136768103,1.0557306131,4.6244602975,1.6050613699,0.1954215874,0.000297539105019,190,56,44,43,45,188,False,2
34,1.0604808690,0.9981200537,4.6235721149,1.7217136830,0.3615259746,0.9240276989,1.0006821519,4.6183935029,1.4477825346,0.1156255151,0.000296176529491,212,40,35,39,52,166,True,0
35,1.0024497222,0.9753089689,4.6229538842,1.6147758942,0.3169814360,0.9213242304,1.0129924218,4.6176778839,1.4374514886,0.1179002990,0.000294519575094,167,49,53,57,52,211,True,0
36,1.0168918806,0.9399148478,4.6233690050,1.6578178046,0.3246158700,0.9421578305,0.9570052998,4.6212781724,1.5015135311,0.1280088023,0.000292571578714,201,31,47,47,52,177,False,1
37,1.0832053423,0.9119932850,4.6246777464,1.8016133624,0.3700018062,0.9014006115,0.9017506985,4.6180898984,1.4421009529,0.1187486059,0.000290336463357,182,39,63,53,41,196,True,0
38,1.0087877108,0.8687595962,4.6254387078,1.6700716277,0.3447264951,0.9484883104,0.9824181738,4.6218655314,1.5040093490,0.1507853729,0.000287818730248,174,45,49,53,57,204,False,1
39,0.9891363436,0.7405517275,4.6233000806,1.6820519734,0.3588902818,0.8243457488,0.7314083678,4.6168700809,1.3561281477,0.0601849926,0.000285023449765,191,50,48,48,41,187,True,0
40,1.0168861939,0.6829447399,4.6240057138,1.7605944714,0.3844138914,1.0581700847,0.9715306237,4.6276223001,1.7277279173,0.2495925807,0.000281956251232,190,38,47,52,51,188,False,1
41,0.9687930992,0.7047990594,4.6243019583,1.6556665386,0.3471415211,0.8986481337,0.9515289556,4.6185234660,1.4166846957,0.0749266146,0.000278623311578,191,52,34,51,50,187,False,2
42,0.9034871863,0.5120672792,4.6218381534,1.6021474871,0.2859812233,0.8035295731,0.7237862366,4.6151107198,1.3175446533,0.0600830314,0.000275031342901,192,49,51,37,49,186,True,0
43,0.9105992096,0.4507302707,4.6233266396,1.6409063522,0.3259598467,0.7495445359,0.6087645894,4.6133527847,1.2555832329,0.0304292025,0.000271187578947,190,45,45,40,58,188,True,0
44,0.9048418513,0.4732130235,4.6226986552,1.6203984930,0.2939528511,0.8128092249,0.5950525210,4.6176591374,1.3875974508,0.1001246974,0.000267099760545,185,58,49,39,47,193,False,1
45,0.8852215103,0.3938544610,4.6197676179,1.6129012461,0.3144528716,1.5569116558,1.0240963675,4.6468479838,2.7041847933,0.8628142832,0.000262776120018,181,39,53,54,51,197,False,2
46,1.0071153351,0.5456392196,4.6260456307,1.7959750001,0.3828792607,1.0664796069,0.8462322434,4.6293121292,1.7944663252,0.2870905511,0.000258225364602,174,54,50,57,43,204,False,3
47,0.9191934280,0.4485298802,4.6213021985,1.6589749288,0.3536420080,0.8038516521,0.4723776817,4.6176797685,1.4187522321,0.0943463363,0.000253456658913,173,53,46,45,61,205,False,4
48,0.9474468537,0.4648050478,4.6227301466,1.7089716284,0.3336323159,0.8067870288,0.6111078529,4.6159902209,1.3691309021,0.0594664691,0.000248479606489,189,35,54,57,43,189,False,5
49,0.8981716595,0.4370521577,4.6212338720,1.6215224455,0.3222506424,0.7705224832,0.5004895392,4.6162344161,1.3408491453,0.0505485347,0.000243304230452,180,53,44,54,47,198,False,6
50,0.8209191804,0.3668623488,4.6175458696,1.4950934018,0.2577106056,0.7240004329,0.3597559549,4.6149574189,1.3040984846,0.0482348420,0.000237940953321,193,40,50,44,51,185,True,0
51,0.8725223652,0.3973596856,4.6210640675,1.5861008205,0.2972636223,0.7818536492,0.4362823685,4.6179065341,1.3891943466,0.0801367015,0.000232400576021,197,49,42,52,38,181,False,1
52,0.8613450802,0.3674178171,4.6208648984,1.5757230281,0.2842536429,0.7258248323,0.5119455139,4.6128649485,1.2468714635,0.0261543552,0.000226694256136,202,38,45,44,49,176,False,2
53,0.8795608976,0.3793051621,4.6202988826,1.6073997260,0.2963769754,0.7219517095,0.4491364343,4.6138730276,1.2642488593,0.0353077193,0.000220833485433,183,50,39,49,57,195,True,0
54,0.7848019767,0.3371697543,4.6165125988,1.4347360103,0.1903544851,0.7145063871,0.4913128109,4.6123999096,1.2324876524,0.0209728701,0.000214830066727,186,49,41,54,48,192,True,0
55,0.7708903996,0.3413078416,4.6155665160,1.4052576451,0.1788432366,0.6923344175,0.4646122955,4.6111222449,1.1988239129,0.0163935161,0.000208696090101,193,44,43,50,48,185,True,0
56,0.7857656422,0.3486734342,4.6165209447,1.4320618766,0.1831922555,0.7051209081,0.4455174685,4.6121309462,1.2320348285,0.0170618844,0.00020244390857,186,46,58,52,36,192,False,1
57,0.7965692818,0.3458754229,4.6163851420,1.4547884313,0.2149403295,0.7001021147,0.4164734574,4.6117805118,1.2336148478,0.0159231592,0.000196086113195,196,50,32,49,51,182,False,2
58,0.7893007675,0.3421793406,4.6152654527,1.4417297323,0.2395796654,0.6975635063,0.4706805933,4.6106429554,1.2068547771,0.0099005586,0.00018963550773,191,44,54,42,47,187,False,3
59,0.8631472156,0.3887539892,4.6186617190,1.5707927387,0.2706078734,0.8265892892,0.6680024119,4.6174487477,1.3859776111,0.1106510167,0.000183105082835,196,55,38,34,55,182,False,4
60,0.8459473249,0.3632692297,4.6167165312,1.5465869475,0.2551218552,0.7327842468,0.5265088467,4.6133294106,1.2549649443,0.0313577500,0.000176507989917,187,54,43,46,48,191,False,5
61,0.8476629194,0.3674477102,4.6190984388,1.5483467383,0.2845829271,0.7401749038,0.4799765451,4.6141029085,1.2883591743,0.0501681664,0.000169857514644,170,45,50,57,56,208,False,6
62,0.8091199723,0.3635445436,4.6167922096,1.4728221408,0.2005384138,0.6921858384,0.4946588397,4.6107919421,1.1865081469,0.0103074769,0.000163167050187,184,49,45,50,50,194,True,0
63,0.7551065220,0.3416336743,4.6141437727,1.3735595979,0.1572999731,0.6949270964,0.4531263420,4.6116482644,1.2086036410,0.0141145520,0.000156450070251,183,42,47,54,52,195,False,1
