epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,4.8418991957,4.8418991957,0.0000000000,0.0000000000,4.8531639054,4.8531639054,0.0000000000,0.0000000000,1.27910408698e-05,184,194,True,0
1,4.8247521517,4.8247521517,0.0000000000,0.0000000000,4.8298058601,4.8298058601,0.0000000000,0.0000000000,1.51554725672e-05,175,203,True,0
2,4.8087276126,4.8087276126,0.0000000000,0.0000000000,4.8215548515,4.8215548515,0.0000000000,0.0000000000,1.90673178408e-05,189,189,True,0
3,4.7935184423,4.7935184423,0.0000000000,0.0000000000,4.7988519214,4.7988519214,0.0000000000,0.0000000000,2.44835985032e-05,196,182,True,0
4,4.7757542625,4.7757542625,0.0000000000,0.0000000000,4.7838642484,4.7838642484,0.0000000000,0.0000000000,3.13448076188e-05,171,207,True,0
5,4.7532343461,4.7532343461,0.0000000000,0.0000000000,4.7835933685,4.7835933685,0.0000000000,0.0000000000,3.95755632872e-05,203,175,True,0
6,4.7477358384,4.7477358384,0.0000000000,0.0000000000,4.7677075522,4.7677075522,0.0000000000,0.0000000000,4.908543684e-05,189,189,True,0
7,4.7275877806,4.7275877806,0.0000000000,0.0000000000,4.7389576912,4.7389576912,0.0000000000,0.0000000000,5.97699463517e-05,188,190,True,0
8,4.7210876702,4.7210876702,0.0000000000,0.0000000000,4.7799629121,4.7799629121,0.0000000000,0.0000000000,7.15117045486e-05,176,202,False,1
9,4.6914357862,4.6914357862,0.0000000000,0.0000000000,4.7558883849,4.7558883849,0.0000000000,0.0000000000,8.41817085055e-05,181,197,False,2
10,4.6996340802,4.6996340802,0.0000000000,0.0000000000,4.7167355583,4.7167355583,0.0000000000,0.0000000000,9.76407569592e-05,209,169,True,0
