epoch,lr,train_loss,val_loss,val_hr_mae
1,0.0003,2.855971727307708,2.6686250919462995,107.04646513836909
2,0.0003,2.8439641577289847,2.6761810219070488,141.96525782655178
3,0.0003,2.839480018298184,2.662452550872081,115.57940868260494
4,0.0003,2.835002633178406,2.669501321860599,87.53041202242159
5,0.0003,2.822699909019682,2.656484227080993,158.96710988925716
6,0.0003,2.808672399235089,2.642357580724835,145.33617800461437
7,0.0003,2.8008102369361394,2.6390485343663626,139.2734589514835
8,0.0003,2.7957198212863865,2.6637331896939065,108.08015332058261
9,0.0003,2.7864037723308397,2.6425490840738273,88.3394502284434
10,0.0003,2.781549707131169,2.6372571508540137,124.68500079195233
11,0.0003,2.7953462897077386,2.6441468504706256,138.67047199036503
12,0.0003,2.7981463531807447,2.6320592553740516,144.7593511267603
13,0.0003,2.7813735428978417,2.6423410618072154,157.85352555648316
14,0.0003,2.7767245858411544,2.6440362414840566,130.84281679215798
15,0.0003,2.7727046662774124,2.636776405150851,86.3782129485129
16,0.0003,2.7700311934908277,2.6730462760981695,103.75207030105341
17,0.0003,2.7847477844102797,2.631063635603477,133.55504177637792
18,0.0003,2.7688769251075094,2.6294639873175623,151.24675710099035
19,0.0003,2.760595072440381,2.6231705368064553,160.9043323952556
20,0.0003,2.754751669368257,2.6149260218711015,147.72348713831732
21,0.0003,2.7492954456845875,2.6234209393757757,153.37482231850495
22,0.0003,2.7453271330262923,2.624731808670718,141.14902857964861
23,0.0003,2.7449578811272928,2.6178097001080913,160.91199541170255
24,0.0003,2.743030577785564,2.628245732536335,160.67547799292623
25,0.0003,2.741361308230147,2.614065704859594,117.58302604088706
26,0.0003,2.745644413379665,2.6331353258847683,107.90935986896288
27,0.0003,2.7523957419210214,2.627536333427849,160.8436970156912
28,0.0003,2.7426156069409435,2.6164745829347047,160.65450717201566
29,0.0003,2.809653230618425,2.6368963272285244,118.35813407418527
30,0.0003,2.793705495904209,2.6326434732521427,160.85888443021366
31,0.00015,2.7835501685655872,2.6354010748671293,160.52209110590593
32,0.00015,2.777798923085982,2.627730675943775,158.94744708468727
33,0.00015,2.7720622881403507,2.6343930625790186,160.9336116746746
34,0.00015,2.767303961892504,2.629691597274397,160.93977037399728
35,0.00015,2.763392539241338,2.634530214560684,160.9163655187376
36,0.00015,2.7609956415326695,2.6261414299462453,160.93484341453913
37,7.5e-05,2.7600789117230957,2.6285644020962953,160.93853902832439
38,7.5e-05,2.7558139869825427,2.6237082659209205,160.93607515440368
39,7.5e-05,2.7544721188476426,2.628346955891762,160.94223464210964
40,7.5e-05,2.755149370292977,2.6200728818311547,160.93853902832439
41,7.5e-05,2.7534677197480706,2.628974755996747,160.94223464210964
42,7.5e-05,2.7514975109058004,2.6275514704029175,160.94100290224512
43,3.75e-05,2.752150364006796,2.623523517960846,160.94223464210964
44,3.75e-05,2.751529332032876,2.6281140229375723,160.94223464210964
45,3.75e-05,2.75184583605725,2.62299625960128,160.94223464210964
46,3.75e-05,2.7484503653946515,2.6275300192327675,160.94223464210964
47,3.75e-05,2.7512962070871536,2.632290258261886,160.94223464210964
48,3.75e-05,2.7496584536100466,2.6261770781261182,160.94223464210964
49,1.875e-05,2.749842153140628,2.6255297191589166,160.94223464210964
50,1.875e-05,2.7500165682124775,2.6269273828437845,160.94223464210964
51,1.875e-05,2.7505463335543174,2.62530002763202,160.94223464210964
52,1.875e-05,2.7509687937589384,2.625223115294638,160.94223464210964
53,1.875e-05,2.751233556029799,2.6275003527858605,160.94223464210964
54,1.875e-05,2.749092803599435,2.624101299203165,160.94223464210964
55,1e-05,2.7469009491500262,2.624484392150157,160.94223464210964
