epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
0,4.9088999345,0.9930013242,4.6529990683,3.4335764623,1.2767232672,4.3061113203,0.9866455561,4.6508876937,3.0910617314,1.0177203959,1.27902315635e-05,318,71,60,78,69,278,True,0
1,4.4004444916,0.9914539732,4.6515313347,3.1552395149,1.0469141591,4.0497739470,0.9912495830,4.6481702730,2.9060441890,0.9454797986,1.5152253116e-05,300,58,66,88,84,296,True,0
2,4.5755806641,1.0040473882,4.6529290084,3.2548772169,1.1198939445,4.2733821900,1.0076496059,4.6502006890,2.9945314178,1.0773208962,1.90601404356e-05,292,82,74,72,76,304,False,1
3,4.3453313840,0.9991898473,4.6514339255,3.1362828440,1.0092105793,4.2315923579,1.0038437007,4.6496543513,2.9803845139,1.0504392579,2.44710027459e-05,309,56,87,61,83,287,False,2
4,4.4796025737,0.9947633903,4.6519578383,3.2035812692,1.0770685889,3.9289964794,1.0031674295,4.6487671493,2.8280301620,0.9003327845,3.13254534608e-05,326,76,70,65,59,270,True,0
5,4.3663165905,0.9994345279,4.6522974744,3.1498816733,1.0165480067,4.0986359027,0.9976029334,4.6498919091,2.9173823827,0.9817330172,3.95482619791e-05,296,85,63,71,81,300,False,1
6,4.3756584753,0.9945100594,4.6519097098,3.1759884405,1.0007679416,4.0563293494,0.9948042770,4.6498000591,2.8979667100,0.9594018506,4.90491793723e-05,299,80,68,78,71,297,False,2
7,4.3801713662,0.9941217579,4.6516440091,3.1643913512,1.0169556757,3.9371650838,0.9860326083,4.6478002907,2.8299804663,0.9099781320,5.97239289073e-05,293,82,82,66,73,303,False,3
8,4.3409483129,0.9840556759,4.6512058949,3.1369660157,1.0071710748,3.8228226668,0.9882224489,4.6465993051,2.7526692508,0.8725088928,7.14553505281e-05,313,83,69,66,65,283,True,0
9,4.1941252875,0.9862509910,4.6509270828,3.0604980328,0.9363770989,4.7774261314,1.0011823286,4.6544402915,3.2952415386,1.2819482553,8.41146867396e-05,293,75,72,93,63,303,False,1
10,4.1381504360,0.9797976945,4.6507853470,3.0137317341,0.9284591595,4.4621731461,0.9914726127,4.6511198453,3.1084492888,1.1554293648,9.75629957774e-05,303,74,78,75,66,293,False,2
11,4.2256962917,0.9962524808,4.6510944174,3.0683226937,0.9581231015,4.1121990866,1.0004070641,4.6495033177,2.8904883800,1.0216292336,0.000111652676554,312,65,70,68,81,284,False,3
12,4.2093777913,0.9874353681,4.6513387629,3.0660816039,0.9458090755,4.2313190312,1.0058545153,4.6501614707,2.9602346235,1.0699135382,0.000126229088647,305,65,73,72,81,291,False,4
13,4.1842181827,0.9748668863,4.6514513349,3.0478093736,0.9414353699,3.6886149567,0.9833077703,4.6469225140,2.6636319563,0.8283213145,0.000141132249543,284,80,84,71,77,312,True,0
