epoch,lr,train_loss,val_loss,val_hr_mae
1,0.0003,3.1381096809601114,3.0848157953299866,5.519617338993891
2,0.0003,3.1105149642552172,3.0645703681742016,5.233743713632743
3,0.0003,3.0982112945128826,3.060987662241184,5.5506712713304145
4,0.0003,3.089556891450258,3.071938898145538,5.233618066371213
5,0.0003,3.081528663456997,3.057372022814693,4.80827412296928
6,0.0003,3.078590724624206,3.1101308427576497,18.265415031661917
7,0.0003,3.105706959840293,3.0636437160452616,5.427103255324646
8,0.0003,3.0865894865766865,3.064990849615596,5.002851582735413
9,0.0003,3.083831255547354,3.0730047152214444,5.011106921448927
10,0.0003,3.081063056838847,3.072709169807899,4.684208724246253
11,0.00015,3.0796103550563347,3.0647660376540724,5.025717978401506
12,0.00015,3.080768369246866,3.0653645864913925,4.591506678251429
13,0.00015,3.078347229467374,3.067040075178781,4.759652311598573
14,0.00015,3.075070346047945,3.0720714217832183,4.795244366181936
15,0.00015,3.0754049488317188,3.0701850732018596,4.725196863851932
16,0.00015,3.07739934386494,3.063189830976663,4.563891692818496
17,7.5e-05,3.0741493972885277,3.0626981624846383,4.649092283222088
18,7.5e-05,3.0679534809611666,3.061250407782915,4.424510857493607
19,7.5e-05,3.0655793331716663,3.0587498087020486,4.27864934309912
20,7.5e-05,3.0616827121627663,3.0613877918525847,4.377155122068739
21,7.5e-05,3.0585117512997066,3.052612885874683,4.426299043313968
22,7.5e-05,3.0548066895921653,3.051000623023722,4.314351870171244
23,7.5e-05,3.0546816533525414,3.050982889329147,4.33597939508254
24,7.5e-05,3.0492909894925413,3.0484797802614962,4.273356283057373
25,7.5e-05,3.0488020123276756,3.0413839184690437,4.245086459434245
26,7.5e-05,3.048910052486669,3.042646829726658,4.14017196179777
27,7.5e-05,3.048640298130356,3.038497042186705,4.103580159345518
28,7.5e-05,3.049160803055095,3.0367852707499083,4.153893254466893
29,7.5e-05,3.0455333448570467,3.0328304553098957,3.9996597782517553
30,7.5e-05,3.0461265319752915,3.033385493538596,4.061439342999302
31,7.5e-05,3.0427112248679187,3.0351477261447637,3.999546537694243
32,7.5e-05,3.043580210052918,3.033783129921782,4.196437339639709
33,7.5e-05,3.0418946462256886,3.030435330865533,4.022178675822264
34,7.5e-05,3.043736768259066,3.026990318477098,3.9955452214699543
35,7.5e-05,3.0432615423648155,3.0266527986571177,3.9856008281189363
36,7.5e-05,3.044757958884551,3.0290947181662333,4.041277659754945
37,7.5e-05,3.0417700269289107,3.027576486306874,4.013558240280938
38,7.5e-05,3.04193181483545,3.025535807614027,4.20361325533008
39,7.5e-05,3.0419896899428323,3.0242687044796144,4.072673520979305
40,7.5e-05,3.0422940069715554,3.026133720742952,4.084760506798871
41,7.5e-05,3.0433247040365345,3.0244690864691695,4.048576133767354
42,7.5e-05,3.0414287968216653,3.023299706797792,4.070078692038481
43,7.5e-05,3.0421714833518054,3.0238212645333173,4.028776844975651
44,7.5e-05,3.0404760737731076,3.0247495257083568,4.132576929930782
45,7.5e-05,3.040168657391985,3.0209596773789325,3.971875648802424
46,7.5e-05,3.0409219683887803,3.018196080930901,3.939232631386611
47,7.5e-05,3.0425271101087055,3.0211187083808304,4.020860777464333
48,7.5e-05,3.0382359977080444,3.022550540877595,3.995420592682543
49,7.5e-05,3.0406871391011174,3.0212521774252665,4.0137869116292455
50,7.5e-05,3.0433330648190506,3.0184449635606674,3.915428890507134
51,7.5e-05,3.0397734937935232,3.021340224266946,3.9221214993377655
52,3.75e-05,3.0411982095130137,3.0208627498362146,3.960457442068227
53,3.75e-05,3.0373096986574546,3.0188134527698005,3.869091295369228
54,3.75e-05,3.0389388774265753,3.0182939330997485,3.869163082376639
55,3.75e-05,3.0382780577757647,3.0187912773840204,3.89732494819019
56,3.75e-05,3.039814033508301,3.0201995486730486,3.86865164078388
57,3.75e-05,3.037430478746646,3.01972644286616,3.9308343054316484
58,3.75e-05,3.0405551919313236,3.017883972017812,3.8816995088922273
59,3.75e-05,3.0404883517505965,3.018605192688546,3.858960746489849
60,3.75e-05,3.0386780621181027,3.020188051624173,3.9857728246672757
61,3.75e-05,3.0398170234109756,3.0185542942322408,3.835455838608317
62,3.75e-05,3.040010675180738,3.0211299844400394,3.933606600470932
63,3.75e-05,3.0383615597163405,3.0187557597191623,3.8422807865089195
64,1.875e-05,3.039836128003129,3.021037238495531,3.9224700731100497
65,1.875e-05,3.039509800795083,3.018900979425489,3.8973031557935807
66,1.875e-05,3.0362370843085174,3.0194864297650525,3.888670028876007
67,1.875e-05,3.0404747517309456,3.020443176262381,3.939384640547977
68,1.875e-05,3.0392157084028297,3.0193321365224164,3.9745174441923017
69,1.875e-05,3.0378090437773233,3.0204453457150375,3.8965765873516625
70,1e-05,3.0385351550913304,3.0210782196774253,3.974496424030565
71,1e-05,3.038518734691299,3.0192926005995373,3.9184711196205835
72,1e-05,3.039089931327606,3.0194293668366194,3.946485762073263
73,1e-05,3.0358997837850983,3.019072997424797,3.9716993196053045
74,1e-05,3.03851159104677,3.0208208020200433,3.9746084092595138
75,1e-05,3.038181896833616,3.0195981785864503,3.930846035983256
76,1e-05,3.035837311165355,3.019972890364085,3.9324324021522643
77,1e-05,3.036098619888876,3.018565571408687,3.8761921357974454
78,1e-05,3.038375377387644,3.019136125167732,3.9676182933689392
79,1e-05,3.0378595927942578,3.019206876719009,3.9113121113155978
80,1e-05,3.0392706381717574,3.0187225469162002,3.932449828382955
81,1e-05,3.0358181898170544,3.0186805903855727,3.910005597165509
82,1e-05,3.0379302685283056,3.019486902133259,3.953488118422847
83,1e-05,3.035183896483662,3.0192131200681365,3.9183684240017636
84,1e-05,3.038748544532562,3.018847495904009,3.904320642226415
85,1e-05,3.037033879289003,3.018341854787253,3.946502801739622
86,1e-05,3.0386767148525915,3.020584422176758,3.974531313137351
87,1e-05,3.037289009629009,3.018731284163885,3.744288310897384
88,1e-05,3.037716706267027,3.0166554493443813,3.7204261800342335
89,1e-05,3.037779423900854,3.0156130068974734,3.697930955842151
