evaluation_run,checkpoint,dataset,protocol,evaluation_unit,total_count,correct_count,harmonic_1p5x_count,harmonic_2x_count,harmonic_0p5x_count,harmonic_0p333x_count,other_large_error_count
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,BH-rPPG,Official,recording,105,92,5,4,0,0,4
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,BH-rPPG,Old,window,5323,3809,251,680,2,0,581
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,BH-rPPG,PRISM,window,523,428,29,37,0,0,29
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,COHFACE,Official,recording,160,117,14,7,0,0,22
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,COHFACE,Old,window,8242,3583,1222,1664,55,0,1718
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,COHFACE,PRISM,window,810,416,142,78,1,0,173
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,PURE,Official,recording,12,12,0,0,0,0,0
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,PURE,Old,window,735,714,3,9,0,0,9
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,PURE,PRISM,window,77,77,0,0,0,0,0
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,TokyoTech,Official,recording,9,8,0,0,0,0,1
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,TokyoTech,Old,window,1521,1314,7,56,4,0,140
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,TokyoTech,PRISM,window,153,141,0,1,1,0,10
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-PHYS,Official,recording,60,38,7,4,0,0,11
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-PHYS,Old,window,10140,3703,1441,1969,165,9,2853
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-PHYS,PRISM,window,1020,413,156,146,12,0,293
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-rPPG,Official,recording,42,39,0,0,0,0,3
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-rPPG,Old,window,2280,2102,9,1,29,4,135
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED101,UBFC-rPPG,PRISM,window,239,220,0,0,1,0,18
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,BH-rPPG,Official,recording,105,97,3,0,0,0,5
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,BH-rPPG,Old,window,5323,3894,188,116,47,0,1078
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,BH-rPPG,PRISM,window,523,426,21,5,1,0,70
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,COHFACE,Official,recording,160,94,26,0,0,0,40
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,COHFACE,Old,window,8242,3593,971,415,179,0,3084
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,COHFACE,PRISM,window,810,389,105,14,7,0,295
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,PURE,Official,recording,12,12,0,0,0,0,0
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,PURE,Old,window,735,723,2,5,0,0,5
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,PURE,PRISM,window,77,68,0,7,0,0,2
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,TokyoTech,Official,recording,9,8,0,0,0,0,1
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,TokyoTech,Old,window,1521,1307,4,9,19,0,182
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,TokyoTech,PRISM,window,153,140,0,0,1,0,12
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-PHYS,Official,recording,60,38,9,0,0,0,13
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-PHYS,Old,window,10140,3732,1291,1636,263,19,3199
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-PHYS,PRISM,window,1020,418,150,123,20,0,309
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-rPPG,Official,recording,42,38,0,0,0,0,4
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-rPPG,Old,window,2280,2110,4,1,19,3,143
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED102,UBFC-rPPG,PRISM,window,239,227,1,0,0,0,11
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,BH-rPPG,Official,recording,105,86,8,0,0,0,11
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,BH-rPPG,Old,window,5323,3773,174,96,130,0,1150
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,BH-rPPG,PRISM,window,523,414,19,3,2,0,85
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,COHFACE,Official,recording,160,81,40,4,0,0,35
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,COHFACE,Old,window,8242,3384,734,348,302,0,3474
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,COHFACE,PRISM,window,810,385,79,21,11,0,314
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,PURE,Official,recording,12,12,0,0,0,0,0
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,PURE,Old,window,735,725,1,3,0,0,6
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,PURE,PRISM,window,77,73,0,1,0,0,3
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,TokyoTech,Official,recording,9,7,0,0,0,0,2
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,TokyoTech,Old,window,1521,1238,3,2,34,0,244
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,TokyoTech,PRISM,window,153,129,0,0,2,0,22
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,UBFC-PHYS,Official,recording,60,37,7,2,0,0,14
evaluation_protocols_a4_final_multiseed,PURE_A4_L4_C100_H100_SEED103,UBFC-PHYS,Old,window,10140,3961,1251,1529,230,6,3163
