evaluation_run,checkpoint,dataset,protocol,evaluation_unit,total_count,correct_count,harmonic_1p5x_count,harmonic_2x_count,harmonic_0p5x_count,harmonic_0p333x_count,other_large_error_count
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,BH-rPPG,Official,recording,105,62,21,0,0,0,22
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,BH-rPPG,Old,window,5323,2624,561,170,51,0,1917
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,BH-rPPG,PRISM,window,523,280,62,8,1,0,172
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,COHFACE,Official,recording,160,50,49,1,0,0,60
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,COHFACE,Old,window,8242,1952,1039,749,493,0,4009
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,COHFACE,PRISM,window,810,242,169,48,12,0,339
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,PURE,Official,recording,12,10,0,1,0,0,1
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,PURE,Old,window,735,579,23,11,13,0,109
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,PURE,PRISM,window,77,65,1,1,1,0,9
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,TokyoTech,Official,recording,9,8,0,0,0,0,1
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,TokyoTech,Old,window,1521,1111,2,0,73,0,335
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,TokyoTech,PRISM,window,153,121,0,0,5,0,27
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,UBFC-PHYS,Official,recording,60,25,11,0,0,0,24
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,UBFC-PHYS,Old,window,10140,2795,931,549,1250,74,4541
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,UBFC-PHYS,PRISM,window,1020,308,109,38,88,1,476
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,UBFC-rPPG,Official,recording,42,20,1,0,0,0,21
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,UBFC-rPPG,Old,window,2280,1113,26,8,334,61,738
evaluation_protocols_a4_loss_suite,PURE_A4_L1_OFFICIAL_HARMONIC,UBFC-rPPG,PRISM,window,239,110,3,0,21,3,102
evaluation_protocols_a4_loss_suite,PURE_A4_L2_HARMONIC_REPLACE,BH-rPPG,Official,recording,105,92,4,0,0,0,9
evaluation_protocols_a4_loss_suite,PURE_A4_L2_HARMONIC_REPLACE,BH-rPPG,Old,window,5323,3457,90,34,143,1,1598
evaluation_protocols_a4_loss_suite,PURE_A4_L2_HARMONIC_REPLACE,BH-rPPG,PRISM,window,523,399,5,0,2,0,117
evaluation_protocols_a4_loss_suite,PURE_A4_L2_HARMONIC_REPLACE,COHFACE,Official,recording,160,69,40,5,0,0,46
