epoch,training_total_loss,training_base_loss,training_harmonic_loss,validation_total_loss,validation_base_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,4.9770136485,4.8503320482,1.2668152486,5.0236873899,4.8550015404,1.6868580756,1.27910408698e-05,184,194,True,0
1,4.9687788373,4.8448782043,1.2390048006,4.9385984012,4.8445742970,0.9402408050,1.51554725672e-05,175,203,True,0
2,4.9562851689,4.8417396747,1.1454550387,4.9197720074,4.8302397819,0.8953224402,1.90673178408e-05,189,189,True,0
3,4.9608798733,4.8390407587,1.2183911293,4.9413238435,4.8445675986,0.9675622040,2.44835985032e-05,196,182,False,1
4,4.9455718061,4.8335930708,1.1197883540,4.9380751701,4.8437772388,0.9429792653,3.13448076188e-05,171,207,False,2
5,4.9237945950,4.8231358755,1.0065862044,4.9240078926,4.8372380484,0.8676992607,3.95755632872e-05,203,175,False,3
6,4.9202882499,4.8196466385,1.0064166636,4.9134313265,4.8290130751,0.8441822654,4.908543684e-05,189,189,True,0
7,4.9052906415,4.8101413439,0.9514920238,4.8987088022,4.8247993378,0.7390942349,5.97699463517e-05,188,190,True,0
8,4.8904382262,4.8039536703,0.8648454954,4.9195358640,4.8262885775,0.9324717076,7.15117045486e-05,176,202,False,1
9,4.8642035237,4.7898304425,0.7437321400,4.9004335721,4.8143076533,0.8612589123,8.41817085055e-05,181,197,False,2
10,4.8474752966,4.7765636621,0.7091164825,4.8941938900,4.8162438256,0.7795006368,9.76407569592e-05,209,169,True,0
11,4.8596176950,4.7841498890,0.7546790283,4.9312404224,4.8309233348,1.0031707652,0.000111740979668,186,192,False,1
12,4.8458622372,4.7767600584,0.6910228297,4.8710076014,4.7970684188,0.7393916635,0.000126327462015,189,189,True,0
13,4.8306481271,4.7679406398,0.6270765173,4.8259221077,4.7873562858,0.3856580288,0.000141239947004,187,191,True,0
14,4.8076923436,4.7528742962,0.5481809904,4.9158624967,4.8150123959,1.0085018345,0.000156314595954,202,176,False,1
15,4.7896766133,4.7433089176,0.4636763050,4.8953745252,4.8045809065,0.9079366503,0.00017138578854,180,198,False,2
16,4.7658576940,4.7227914901,0.4306616058,4.7974943524,4.7542727107,0.4322172739,0.000186287942409,200,178,True,0
17,4.7727660628,4.7245350262,0.4823098892,4.8341399829,4.7831770216,0.5096286177,0.000200857332385,196,182,False,1
18,4.7395377765,4.7059259465,0.3361181027,4.7786889076,4.7426132202,0.3607568270,0.000214933889261,206,172,True,0
19,4.7831482055,4.7315783425,0.5156974534,4.7922969409,4.7592332567,0.3306370803,0.000228362958428,185,193,False,1
20,4.7769890689,4.7213828349,0.5560626952,4.8931478364,4.8146097002,0.7853810980,0.000240996999018,197,181,False,2
21,4.7777749142,4.7307497332,0.4702508774,4.7638436499,4.7333751906,0.3046843151,0.000252697204885,199,179,True,0
22,4.7332503203,4.7012510527,0.3199942583,4.7272255852,4.7115956579,0.1562993533,0.000263335029626,174,204,True,0
23,4.7583121219,4.7128112632,0.4550107338,4.7565114657,4.7394110725,0.1710043251,0.000272793598879,176,202,False,1
24,4.7434738073,4.7038458441,0.3962781499,4.9573009945,4.8360439936,1.2125699577,0.000280968994381,199,179,False,2
25,4.7463693669,4.7053835808,0.4098583064,4.7850517000,4.7556327865,0.2941888031,0.000287771395688,197,181,False,3
26,4.7393211410,4.6999213279,0.3939970291,4.9434739794,4.8447554725,0.9871849890,0.000293126067003,188,190,False,4
27,4.7473094249,4.7053573371,0.4195209447,4.7634214583,4.7399392991,0.2348209433,0.000296974178272,190,188,False,5
28,4.7166138326,4.6868327232,0.2978104544,4.7473005749,4.7284837723,0.1881680269,0.000299273451532,195,183,False,6
29,4.7396461068,4.6967701836,0.4287597695,4.6959625607,4.6903324672,0.0563009992,0.000299999737735,184,194,True,0
30,4.7191407718,4.6826421117,0.3649863657,4.7331719626,4.7183518001,0.1482023292,0.000299836114086,186,192,False,1
31,4.7334510006,4.6944264659,0.3902455512,4.7291190374,4.7191096578,0.1000939515,0.000299370741653,191,187,False,2
32,4.7238042670,4.6871651014,0.3663909349,4.7445544379,4.7312504587,0.1330400843,0.000298604557633,191,187,False,3
33,4.7083385710,4.6766603964,0.3167812468,4.7838287898,4.7665411359,0.1728762762,0.000297539105019,197,181,False,4
34,4.7190631079,4.6860114330,0.3305161610,4.7487335614,4.7255257879,0.2320776293,0.000296176529491,189,189,False,5
35,4.7082509187,4.6737465127,0.3450441652,4.6927188192,4.6876355035,0.0508326149,0.000294519575094,192,186,True,0
36,4.7013231434,4.6726916404,0.2863155726,4.7295625914,4.7202779361,0.0928463340,0.000292571578714,196,182,False,1
37,4.7193989274,4.6824219139,0.3697706321,4.6781526202,4.6750722703,0.0308032835,0.000290336463357,187,191,True,0
38,4.7274312771,4.6916864839,0.3574493533,4.7086067745,4.7014339175,0.0717283500,0.000287818730248,189,189,False,1
39,4.7280982083,4.6876064079,0.4049188474,4.7611346608,4.7528525534,0.0828204280,0.000285023449765,170,208,False,2
40,4.7267980550,4.6905222191,0.3627601144,4.6846760750,4.6827278909,0.0194814508,0.000281956251232,186,192,False,3
41,4.7019142095,4.6733186358,0.2859556186,4.6912130492,4.6888749032,0.0233814473,0.000278623311578,198,180,False,4
42,4.6961145199,4.6717922675,0.2432234028,4.6807148116,4.6767505373,0.0396425378,0.000275031342901,184,194,False,5
43,4.7026444264,4.6739878554,0.2865660673,4.7083500453,4.7011554264,0.0719457360,0.000271187578947,181,197,False,6
44,4.7066673879,4.6775881550,0.2907923072,4.6964679355,4.6938210079,0.0264691522,0.000267099760545,180,198,False,7
45,4.6997192524,4.6683610835,0.3135824099,4.7453784398,4.7382360140,0.0714237676,0.000262776120018,186,192,False,8
46,4.6996383869,4.6721916602,0.2744663329,4.6870941889,4.6852458908,0.0184826010,0.000258225364602,173,205,False,9
47,4.6994347749,4.6710794943,0.2835514445,4.7197680927,4.7125910350,0.0717706062,0.000253456658913,188,190,False,10
