epoch,lr,train_loss,val_loss,val_hr_mae
1,0.0003,3.308032782360928,2.8825889721828593,2.6064253480089343
2,0.0003,3.0758535241710225,2.8622133339765488,2.3585516138579705
3,0.0003,3.0666583792086315,2.8555610701233682,2.319116392021248
4,0.0003,3.066773177463392,2.8471557705081585,2.218150744164775
5,0.0003,3.0639500538596303,2.8449694418213882,2.2042831012292785
6,0.0003,3.065715827370325,2.8490998803325644,2.2547997476550496
7,0.0003,3.063613911976957,2.846634567831662,2.2547993657623033
8,0.0003,3.066817419695669,2.845456487618978,2.2301570788302483
9,0.0003,3.0642590822310876,2.8413229866021563,2.1919485118484308
10,0.0003,3.064365344518562,2.842715741770597,2.2042814998648645
11,0.0003,3.0665921797630658,2.8425889167954854,2.1821030868535285
12,0.0003,3.064933029422485,2.8399876922305354,2.169770098837095
13,0.0003,3.0636719985754457,2.8373937221393613,2.0995475410416304
14,0.0003,3.0644697403669623,2.841160211849824,2.193179845222409
15,0.0003,3.064596692941562,2.8447587329882675,2.222763510707644
16,0.0003,3.066454934227083,2.841697617040903,2.1820906510156464
17,0.0003,3.066381312263396,2.842753891876732,2.2042814998648645
18,0.0003,3.065878734472192,2.840322749023663,2.185787853866409
19,0.00015,3.064563862676758,2.8427362410681813,2.190728025246826
20,0.00015,3.0643233146307605,2.842788212009892,2.191960159303011
21,0.00015,3.064984878451128,2.844374774809402,2.2166028404267175
22,0.00015,3.063587543093801,2.8445065197381396,2.2166028404267175
23,0.00015,3.064814651449036,2.84255675194748,2.188263757134455
24,0.00015,3.0643634054689906,2.8418017200634793,2.1833227850718315
25,7.5e-05,3.063470076614956,2.8441336821977075,2.2079779020334205
26,7.5e-05,3.0638305364517735,2.8451903624273744,2.225227754222205
27,7.5e-05,3.062974102568547,2.842059717950747,2.1845549191280167
28,7.5e-05,3.064637293270505,2.842960253164493,2.206745767977235
29,7.5e-05,3.063398292988175,2.8424551943281866,2.188263757134455
30,7.5e-05,3.0650385268652744,2.8440560255024026,2.2055140281127006
31,3.75e-05,3.06302511842878,2.842426381049259,2.188263757134455
32,3.75e-05,3.06490156817251,2.842904615190712,2.206745767977235
33,3.75e-05,3.0645773433024823,2.843055862814056,2.206745767977235
34,3.75e-05,3.0656023061500406,2.842380871967825,2.188263757134455
35,3.75e-05,3.0618352474039057,2.8439697334091516,2.2055140281127006
36,3.75e-05,3.0618223349076925,2.8429504977828355,2.206745767977235
37,1.875e-05,3.066766945662165,2.842557649140838,2.188263757134455
38,1.875e-05,3.0627072135298685,2.8441447788650263,2.2055140281127006
39,1.875e-05,3.061825010064704,2.843459858885731,2.2092100360896056
40,1.875e-05,3.0658535567293157,2.842909668317193,2.206745767977235
41,1.875e-05,3.064085143784704,2.8435471518904936,2.206745767977235
42,1.875e-05,3.0633401400770386,2.843639118009078,2.210442170145791
43,1e-05,3.063681782151962,2.8436244996247746,2.2079779020334205
