epoch,training_total_loss,validation_total_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,is_best,epochs_without_improvement
0,4.8391916966,4.8551451910,1.27910408698e-05,189,46,45,48,50,True,0
1,4.8292866056,4.8414478120,1.51554725672e-05,185,51,51,51,40,True,0
2,4.8164075090,4.8082732973,1.90673178408e-05,187,53,43,47,48,True,0
3,4.8024833064,4.7909483455,2.44835985032e-05,198,52,55,31,42,True,0
4,4.7831464470,4.7878350939,3.13448076188e-05,196,49,38,51,44,True,0
5,4.7679415506,4.7773951758,3.95755632872e-05,192,49,52,37,48,True,0
6,4.7460593547,4.7724666595,4.908543684e-05,190,64,45,43,36,True,0
7,4.7248510583,4.7357877413,5.97699463517e-05,180,48,47,42,61,True,0
8,4.7111331647,4.7574887684,7.15117045486e-05,190,46,37,54,51,False,1
9,4.7081367604,4.7188548542,8.41817085055e-05,195,33,49,50,51,True,0
10,4.6993713959,4.7224822635,9.76407569592e-05,189,39,49,46,55,False,1
11,4.6947114758,4.7067771866,0.000111740979668,191,56,46,45,40,True,0
12,4.6833923204,4.7147645315,0.000126327462015,195,49,43,48,43,False,1
13,4.6839272206,4.7133246831,0.000141239947004,209,39,37,51,42,False,2
14,4.6786255584,4.7182351249,0.000156314595954,188,45,53,47,45,False,3
15,4.6735444674,4.6965669723,0.00017138578854,184,51,43,51,49,True,0
16,4.6838111398,4.7100370180,0.000186287942409,207,46,46,36,43,False,1
17,4.6687760908,4.6852688835,0.000200857332385,197,45,46,49,41,True,0
18,4.6696698199,4.6814073608,0.000214933889261,201,44,38,38,57,True,0
19,4.6676317876,4.6900393214,0.000228362958428,196,46,35,52,49,False,1
20,4.6676221752,4.6885424614,0.000240996999018,197,46,44,54,37,False,2
21,4.6591947217,4.6709278016,0.000252697204885,206,43,36,46,47,True,0
22,4.6692001832,4.6871579170,0.000263335029626,182,43,62,48,43,False,1
23,4.6590924112,4.6875684829,0.000272793598879,182,56,49,55,36,False,2
24,4.6633942241,4.7370979309,0.000280968994381,175,51,51,42,59,False,3
25,4.6637922595,4.6816643034,0.000287771395688,190,49,49,45,45,False,4
26,4.6596915608,4.7044098037,0.000293126067003,182,60,40,52,44,False,5
27,4.6540400995,4.6719425156,0.000296974178272,192,41,50,47,48,False,6
28,4.6513909234,4.6851423173,0.000299273451532,188,40,51,41,58,False,7
29,4.6522667850,4.6584649767,0.000299999737735,183,55,42,52,46,True,0
30,4.6550728530,4.6589916865,0.000299836114086,196,36,41,42,63,False,1
31,4.6569582394,4.6647226924,0.000299370741653,200,52,44,33,49,False,2
32,4.6489787077,4.6543794950,0.000298604557633,196,47,51,38,46,True,0
33,4.6506816748,4.6524865150,0.000297539105019,184,46,50,51,47,True,0
34,4.6480162383,4.6715813728,0.000296176529491,201,38,47,51,41,False,1
35,4.6495677025,4.6713332131,0.000294519575094,194,48,44,46,46,False,2
36,4.6503052787,4.6619656109,0.000292571578714,173,46,56,54,49,False,3
37,4.6499914417,4.6624760946,0.000290336463357,193,47,46,45,47,False,4
38,4.6510768038,4.6566629319,0.000287818730248,213,40,38,44,43,False,5
39,4.6514231036,4.6697607540,0.000285023449765,196,39,44,49,50,False,6
40,4.6493872360,4.6823166620,0.000281956251232,188,53,40,46,51,False,7
41,4.6484212926,4.6640930539,0.000278623311578,208,41,38,43,48,False,8
42,4.6504837798,4.6590109734,0.000275031342901,187,58,41,51,41,False,9
43,4.6499161695,4.6520977474,0.000271187578947,191,55,38,46,48,True,0
44,4.6465781151,4.6662042164,0.000267099760545,198,38,54,49,39,False,1
45,4.6415731566,4.6582098007,0.000262776120018,179,41,60,46,52,False,2
46,4.6466709495,4.6511815934,0.000258225364602,173,51,44,58,52,True,0
47,4.6462021480,4.6660770507,0.000253456658913,202,38,48,47,43,False,1
48,4.6458185539,4.6448698089,0.000248479606489,212,41,39,42,44,True,0
49,4.6464042664,4.6528715497,0.000243304230452,190,41,60,48,39,False,1
50,4.6427249858,4.6566958473,0.000237940953321,178,54,57,42,47,False,2
51,4.6432968220,4.6470105535,0.000232400576021,182,46,48,57,45,False,3
52,4.6389217553,4.6524070785,0.000226694256136,174,46,53,57,48,False,4
53,4.6402365468,4.6479402769,0.000220833485433,189,33,55,52,49,False,5
54,4.6424270484,4.6468368530,0.000214830066727,196,48,53,45,36,False,6
55,4.6432659740,4.6624793552,0.000208696090101,178,57,43,52,48,False,7
56,4.6393406757,4.6463361241,0.00020244390857,196,57,37,41,47,False,8
57,4.6391744841,4.6516410918,0.000196086113195,204,37,46,43,48,False,9
58,4.6405553439,4.6854490053,0.00018963550773,198,46,40,57,37,False,10
