epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
27,2.8350020127,0.9346977376,4.6495007189,2.9844697402,0.9509725395,2.8181107725,0.9128874943,4.6457502625,2.7319710131,0.9762702499,0.00029692986106,335,54,72,72,63,261,False,8
28,2.0992667755,0.8462583067,4.6433841526,2.5225320470,0.6496910405,2.1596485516,0.8042914411,4.6372439087,2.2990027279,0.7120197524,0.00029925077669,279,90,76,76,75,317,True,0
29,2.2710019950,0.8426297367,4.6448662585,2.6338853228,0.7220023434,2.1144127722,0.9522391364,4.6446181892,2.4751046757,0.6525943875,0.000299999895385,287,78,76,85,70,309,True,0
30,2.4660572462,0.8855672967,4.6454991846,2.7622117740,0.7991954450,1.9944388866,0.8480339863,4.6371701166,2.1676575023,0.6414588667,0.000299840907969,321,74,78,59,64,275,True,0
31,1.8823566757,0.7775427875,4.6387826964,2.3379351405,0.5711821386,1.9674456491,1.1631982528,4.6365117098,2.2474842582,0.5864674704,0.000299380162113,314,66,76,69,71,282,True,0
32,1.8587444117,0.8272801638,4.6389786221,2.3497407164,0.5529265868,2.1299103793,0.9421987417,4.6368735425,2.1767725604,0.6986387771,0.0002986185857,280,77,89,73,77,316,False,1
33,1.8847834576,0.8230978515,4.6392387000,2.3374332598,0.5679027798,1.8506670060,0.9188598286,4.6344330156,2.0282543696,0.5799157418,0.000297557712442,294,61,74,88,79,302,True,0
34,1.8007965936,0.7881131084,4.6376414747,2.2686402734,0.5380069497,1.9098956028,0.8856675060,4.6348658847,2.0751410367,0.6069884625,0.000296199678797,317,58,83,69,69,279,False,1
35,1.8302034924,0.7843340471,4.6380403762,2.2805395286,0.5516008917,1.6712447699,0.8169294859,4.6317281537,1.9296830831,0.5127190297,0.000294547219663,314,83,66,65,68,282,True,0
36,1.8112718955,0.7803538870,4.6375269538,2.2706967024,0.5437634853,1.7274028264,0.8769567315,4.6322415525,1.9233633605,0.5355852943,0.000292603662875,284,82,75,76,79,312,False,1
37,1.5017607180,0.7921167648,4.6352331782,2.1004080740,0.4091176651,1.7167549629,0.8169473712,4.6314641531,1.9504982527,0.5328704119,0.000290372922495,291,90,66,78,71,305,False,2
38,1.8931541811,0.7778950046,4.6380222180,2.3082021515,0.5802623350,1.4373722866,0.7289004256,4.6290051535,1.8492645025,0.4146379956,0.00028785949094,294,86,72,70,74,302,True,0
39,1.5542057273,0.7472217563,4.6340675930,2.1004116039,0.4398292415,1.6673101264,0.8057857218,4.6314733369,1.9327683743,0.5114804297,0.000285068429924,312,72,77,74,61,284,False,1
40,1.4198334857,0.7913591466,4.6324721311,2.0145168952,0.3789662059,1.3560694766,0.7471072016,4.6269064507,1.7430141359,0.3854472529,0.000282005360274,300,61,82,69,84,296,True,0
41,1.5812352352,0.7867004367,4.6342224915,2.1211249668,0.4468069455,1.6794016470,0.8875390330,4.6310044264,1.8966540671,0.5138651620,0.000278676450605,285,85,82,73,71,311,False,1
42,1.4459370751,0.7885647824,4.6335221041,2.0394272308,0.3891836617,1.6061609751,0.8425224679,4.6309069720,1.8596076656,0.4863772888,0.000275088404897,286,80,73,81,76,310,False,2
43,1.4046267423,0.7886291762,4.6317722845,2.0219772118,0.3707032966,1.4867784048,0.7808161912,4.6279627874,1.8136862764,0.4385968029,0.000271248448997,279,85,85,75,72,317,False,3
44,1.3973139804,0.7563570810,4.6315398952,2.0111964981,0.3716217219,1.2565892981,0.6825609764,4.6251557647,1.7020320443,0.3472845090,0.000267164316065,294,58,77,65,102,302,True,0
45,1.5975035869,0.7938341574,4.6341884728,2.1232590483,0.4539609995,1.3156357740,0.7486073568,4.6251700451,1.6912534005,0.3715504485,0.000262844231001,314,67,75,77,63,282,False,1
46,1.4482354806,0.7403556533,4.6330300658,2.0445465978,0.3945138646,1.2420110501,0.6302669869,4.6235229628,1.6674780288,0.3495440711,0.000258296893882,301,71,68,84,72,295,True,0
47,1.4483441522,0.7331379820,4.6326353918,2.0529970003,0.3942336404,1.2198080676,0.7000171573,4.6268267508,1.7443807512,0.3218547284,0.00025353146244,320,62,67,82,65,276,True,0
48,1.3771934201,0.7666998806,4.6313403533,1.9858241505,0.3636987058,1.5348644195,0.8688220900,4.6284397113,1.7968362430,0.4559454413,0.000248557533618,296,80,65,71,84,300,False,1
49,1.2436009113,0.7328274586,4.6287760575,1.8672081032,0.3151166880,1.0657756654,0.6919495479,4.6210041418,1.5493617631,0.2700226442,0.000243385124249,297,78,74,74,73,299,True,0
50,1.2077393460,0.7354215764,4.6275714004,1.8468046988,0.2994769234,0.9819732223,0.6341949245,4.6189927683,1.4843559404,0.2420226000,0.000238024650876,309,67,68,74,78,287,True,0
51,1.1507870331,0.6811229375,4.6269572085,1.8258709516,0.2790473716,1.1625703682,0.6750236200,4.6211620120,1.5737762312,0.3170607951,0.000232486908778,291,81,86,74,64,305,False,1
52,1.2226724973,0.6673074441,4.6271825893,1.8440162511,0.3141034814,1.1074256045,0.6528660771,4.6211013980,1.5564293227,0.2938725021,0.000226783050232,314,76,65,67,74,282,False,2
53,1.4095138647,0.6772709001,4.6316011928,2.0183588850,0.3847349750,1.3964306426,0.7361793495,4.6262555989,1.7062941108,0.4113106324,0.00022092456205,304,82,76,65,69,292,False,3
54,1.3283649107,0.6548260866,4.6307503745,1.9692341889,0.3525455650,1.0196131870,0.6020082994,4.6200091436,1.4652964960,0.2664437157,0.000214923242447,322,58,80,57,79,274,False,4
55,1.3535019151,0.6541002005,4.6310947629,2.0067350992,0.3604990314,0.9352078763,0.5024044173,4.6189960938,1.5426213912,0.2245358244,0.000208791177283,299,77,90,63,67,297,True,0
56,1.3934766990,0.6407595889,4.6305941383,2.0160374721,0.3806577030,0.8677323298,0.5333794367,4.6179212161,1.4554401667,0.1985981999,0.000202540715719,298,80,58,78,82,298,True,0
57,1.2239514681,0.6251191733,4.6276925426,1.8871776242,0.3135665937,1.1387085651,0.5613124839,4.6213376801,1.5728477178,0.3166170755,0.000196184445355,293,85,83,69,66,303,False,1
58,1.2828705255,0.6474762907,4.6278633943,1.9031807792,0.3387900434,1.1247420884,0.6158375516,4.6211151953,1.5728201727,0.3041847635,0.000189735166872,279,86,74,85,72,317,False,2
59,1.1192931957,0.6107967900,4.6252683313,1.7787825845,0.2762190861,1.1743454159,0.6062352828,4.6210721561,1.6007354894,0.3264572309,0.00018320586826,298,75,79,71,73,298,False,3
60,1.1145317402,0.5889271694,4.6256358511,1.7918704644,0.2743893403,0.8169516534,0.4808641204,4.6136386116,1.3954438946,0.1859589309,0.000176609698657,274,74,85,77,86,322,True,0
61,1.0118972879,0.5897619660,4.6224544320,1.7127406117,0.2328798668,0.8938821663,0.5358149409,4.6144504423,1.4482884453,0.2123235158,0.00016995994187,286,92,76,75,67,310,False,1
62,1.1246305180,0.5966592941,4.6241289273,1.7996239574,0.2776963332,0.9143951822,0.5442055139,4.6171429560,1.5200511682,0.2127706343,0.000163269989625,302,76,78,62,78,294,False,2
63,1.0864403692,0.6026266533,4.6244210781,1.7740211407,0.2612048854,1.0851796834,0.6021032194,4.6224155240,1.5441045761,0.2893664274,0.000156553314595,283,73,81,77,82,313,False,3
64,1.3042076434,0.6076634854,4.6256816467,1.8703475607,0.3575440337,0.9981282315,0.5559027094,4.6199557379,1.5427484915,0.2506303017,0.000149823443269,302,67,62,84,81,294,False,4
65,1.2310463782,0.5995605384,4.6260198683,1.8321733427,0.3265454635,0.8995323444,0.5009573462,4.6168968089,1.5018754501,0.2119360044,0.000143093928714,286,97,63,83,67,310,False,5
66,1.1578624809,0.5743160172,4.6259852352,1.8168716023,0.2943906887,1.0864916901,0.5759252496,4.6205607204,1.5081100448,0.2971395614,0.000136378323276,283,89,68,64,92,313,False,6
67,1.1680122206,0.5678139885,4.6255111342,1.7995325911,0.3022831289,0.8058772017,0.4848726787,4.6131994322,1.3447489150,0.1863577056,0.00012969015129,304,68,81,66,77,292,True,0
68,1.0196346269,0.5629535213,4.6239435913,1.7038862177,0.2405361824,0.7061979755,0.4588102892,4.6111861762,1.3126582093,0.1431356719,0.000123042881845,288,91,66,82,69,308,True,0
69,1.0207213011,0.5559652792,4.6229231182,1.7096294893,0.2410604401,0.7079345770,0.4461053420,4.6102416175,1.3263855956,0.1435585509,0.000116449901657,319,71,72,75,59,277,False,1
70,0.9047857267,0.5357372713,4.6194736622,1.6295991728,0.1951192414,0.6823942715,0.5029499415,4.6098637395,1.2977532179,0.1286829825,0.00010992448811,290,69,82,78,77,306,True,0
71,1.0188213563,0.5542527917,4.6208731440,1.6794269725,0.2440570257,0.6888834958,0.4800686399,4.6094885182,1.2981764899,0.1341628236,0.000103479782519,301,68,78,80,69,295,False,1
72,0.9136312132,0.5350827523,4.6197203182,1.6348121318,0.1989558020,0.7039202955,0.4399747473,4.6098330857,1.2983120587,0.1456736702,9.71287636631e-05,294,72,63,79,88,302,False,2
