epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
36,4.6512939690,4.6512939690,0.0000000000,0.0000000000,4.6862528619,4.6862528619,0.0000000000,0.0000000000,0.000292571578714,186,192,False,4
37,4.6502379917,4.6502379917,0.0000000000,0.0000000000,4.6616861843,4.6616861843,0.0000000000,0.0000000000,0.000290336463357,186,192,False,5
38,4.6511677182,4.6511677182,0.0000000000,0.0000000000,4.6609272548,4.6609272548,0.0000000000,0.0000000000,0.000287818730248,193,185,False,6
39,4.6498672243,4.6498672243,0.0000000000,0.0000000000,4.6620280266,4.6620280266,0.0000000000,0.0000000000,0.000285023449765,198,180,False,7
40,4.6486201690,4.6486201690,0.0000000000,0.0000000000,4.6577704475,4.6577704475,0.0000000000,0.0000000000,0.000281956251232,178,200,False,8
41,4.6503269382,4.6503269382,0.0000000000,0.0000000000,4.6540779159,4.6540779159,0.0000000000,0.0000000000,0.000278623311578,183,195,True,0
42,4.6462775185,4.6462775185,0.0000000000,0.0000000000,4.6579939343,4.6579939343,0.0000000000,0.0000000000,0.000275031342901,200,178,False,1
43,4.6486493898,4.6486493898,0.0000000000,0.0000000000,4.6488817715,4.6488817715,0.0000000000,0.0000000000,0.000271187578947,212,166,True,0
44,4.6463967404,4.6463967404,0.0000000000,0.0000000000,4.6991008895,4.6991008895,0.0000000000,0.0000000000,0.000267099760545,195,183,False,1
45,4.6437782762,4.6437782762,0.0000000000,0.0000000000,4.6513352031,4.6513352031,0.0000000000,0.0000000000,0.000262776120018,198,180,False,2
46,4.6456785505,4.6456785505,0.0000000000,0.0000000000,4.6474017189,4.6474017189,0.0000000000,0.0000000000,0.000258225364602,183,195,True,0
47,4.6487272606,4.6487272606,0.0000000000,0.0000000000,4.6503483409,4.6503483409,0.0000000000,0.0000000000,0.000253456658913,192,186,False,1
48,4.6479677725,4.6479677725,0.0000000000,0.0000000000,4.6477501233,4.6477501233,0.0000000000,0.0000000000,0.000248479606489,180,198,False,2
49,4.6447979357,4.6447979357,0.0000000000,0.0000000000,4.6546920686,4.6546920686,0.0000000000,0.0000000000,0.000243304230452,218,160,False,3
