epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
27,1.0923145158,1.0473742945,4.6265167736,1.7656793531,0.4082426685,0.9363553388,1.0323173841,4.6198176611,1.4597837096,0.1193707581,0.000296974178272,202,44,44,60,28,176,False,1
28,1.0608865445,1.0451206656,4.6244313553,1.7037248296,0.3725138322,0.9522397598,1.0415467535,4.6212946392,1.4878607875,0.1190061741,0.000299273451532,187,44,47,47,53,191,False,2
29,1.0531376033,1.0348962135,4.6243907762,1.6923166860,0.3459561485,0.9644439533,1.0307189567,4.6210765657,1.5166003261,0.1355214801,0.000299999737735,181,64,41,46,46,197,False,3
30,1.1559351399,1.0294066283,4.6289596129,1.9001076209,0.4340343743,1.0170459713,1.0196638573,4.6252832821,1.6262264025,0.1742285075,0.000299836114086,192,48,43,45,50,186,False,4
31,1.0686352899,1.0245340539,4.6257652757,1.7274569147,0.3722481286,0.9380485932,1.0559479634,4.6203922862,1.4537179856,0.1113383160,0.000299370741653,191,44,47,49,47,187,False,5
32,1.0373565217,1.0403219808,4.6238344788,1.6585841646,0.3205876136,0.9024740355,0.9991097428,4.6181304432,1.4053041776,0.0905920573,0.000298604557633,192,46,45,46,49,186,True,0
33,1.0221484300,1.0365568917,4.6224069469,1.6296740537,0.3249061849,1.2551126650,1.0211182049,4.6348810741,2.1017780713,0.4335667332,0.000297539105019,191,44,44,53,46,187,False,1
34,1.1480686545,1.0246268864,4.6273396734,1.8862865444,0.4588838921,1.1731816553,0.9745625723,4.6331798326,1.9565382810,0.3811180145,0.000296176529491,188,54,43,42,51,190,False,2
35,1.2060363488,1.0124601050,4.6308888254,2.0070886662,0.5354372745,0.9996274250,0.9985693477,4.6230824652,1.5998270898,0.2070856094,0.000294519575094,197,40,57,42,42,181,False,3
36,1.0579901625,1.0226605620,4.6256973251,1.7069160440,0.3755181343,0.9822505764,1.0539951029,4.6218432154,1.5429030997,0.1625341221,0.000292571578714,201,50,40,49,38,177,False,4
37,1.1160531473,1.0002034931,4.6263339885,1.8320249262,0.4359226864,0.9876245669,0.9838278543,4.6234556425,1.5817179759,0.1571165093,0.000290336463357,192,58,51,39,38,186,False,5
38,1.0510285125,0.9918118444,4.6256286152,1.7053322269,0.3668256564,0.8886474399,0.9605967261,4.6182880356,1.3930561667,0.0784259395,0.000287818730248,201,41,51,40,45,177,True,0
39,1.0930835002,0.9423720149,4.6266230603,1.8092182566,0.4445285646,0.9433221766,0.9416660263,4.6208317257,1.5099779288,0.1435054641,0.000285023449765,175,57,39,53,54,203,False,1
40,1.0129193638,0.9509021312,4.6229989768,1.6454778765,0.3096618149,0.8470572926,0.9783893824,4.6152746428,1.3027588277,0.0487908477,0.000281956251232,194,43,41,44,56,184,True,0
41,1.0110197682,0.9242368451,4.6215576924,1.6523448469,0.3239769258,0.9276301952,0.9606274775,4.6189085870,1.4710093805,0.1376487031,0.000278623311578,189,38,54,51,46,189,False,1
42,0.9902095076,0.8735262632,4.6227406774,1.6310084806,0.3258049630,0.8346760875,0.9446464754,4.6150622595,1.2914935646,0.0418541906,0.000275031342901,196,47,39,44,52,182,True,0
43,1.0061322794,0.7646582224,4.6224038841,1.7064012794,0.3703545720,1.1484771990,0.9910626536,4.6317918641,1.9005293120,0.3737644575,0.000271187578947,180,56,59,38,45,198,False,1
44,0.9721723338,0.6987086503,4.6241602620,1.6648611297,0.3437176125,0.9266117096,0.8808109704,4.6212398393,1.5008990299,0.1077751488,0.000267099760545,198,40,55,42,43,180,False,2
45,0.9730840341,0.5859325847,4.6238347286,1.7117950424,0.3837425813,1.0526119062,1.0838433981,4.6254886854,1.6716864268,0.2367649162,0.000262776120018,178,52,47,50,51,200,False,3
46,0.8892565565,0.5736986597,4.6213643942,1.5490336784,0.2884051359,0.7914515796,0.8764788355,4.6126233510,1.2323116189,0.0251604163,0.000258225364602,186,40,52,48,52,192,True,0
47,0.8619487787,0.5174869859,4.6191126152,1.5169028119,0.2568068932,0.8013363708,1.0018110735,4.6117883137,1.2019482862,0.0219731773,0.000253456658913,184,42,48,53,51,194,False,1
48,0.8780209804,0.5068758680,4.6197995408,1.5532916109,0.3050987497,0.7669092479,0.6922068511,4.6130948793,1.2569357350,0.0392440502,0.000248479606489,187,56,55,41,39,191,True,0
49,1.0009491056,0.5283064309,4.6256908942,1.7905756550,0.4059844389,0.7570215764,0.7257651692,4.6124787058,1.2237370888,0.0180680869,0.000243304230452,191,43,47,46,51,187,True,0
50,0.8316139696,0.4114300460,4.6190746928,1.4986559336,0.2534337615,0.7844607348,0.7309229414,4.6143139703,1.2765523025,0.0451786340,0.000237940953321,196,58,39,35,50,182,False,1
51,0.8291116489,0.4001940702,4.6189740575,1.4981456989,0.2557948459,0.7561588696,0.5950059380,4.6140218735,1.2743153742,0.0353524408,0.000232400576021,196,43,49,40,50,182,True,0
52,0.7755922618,0.3659069172,4.6177794845,1.4048217339,0.1965094135,0.7569884629,0.5843540816,4.6144166629,1.2802352883,0.0424825275,0.000226694256136,197,43,55,39,44,181,False,1
53,0.8481549334,0.4197934721,4.6176617259,1.5283924991,0.2314478663,0.7227856318,0.5853488899,4.6117368062,1.2114317065,0.0181886122,0.000220833485433,184,48,42,52,52,194,True,0
54,0.8693689262,0.4174108242,4.6189248070,1.5717735562,0.2716035022,0.7157885943,0.5157751498,4.6115344138,1.2252671196,0.0252425893,0.000214830066727,183,54,43,45,53,195,True,0
55,0.8076020252,0.3648660030,4.6174761278,1.4692576234,0.2220216200,0.7274807958,0.5451154618,4.6117659433,1.2369153965,0.0290095044,0.000208696090101,188,52,58,45,35,190,False,1
56,0.7947737212,0.3817618943,4.6163528357,1.4368426547,0.2146424782,1.1095870359,0.7707767668,4.6309204238,1.9108633723,0.3240753428,0.00020244390857,187,51,55,45,40,191,False,2
57,0.7496491907,0.3110771566,4.6165301863,1.3748675269,0.1943312987,0.7337154445,0.5636048629,4.6124703316,1.2419889212,0.0233694055,0.000196086113195,200,44,49,35,50,178,False,3
58,0.7747282607,0.3442402275,4.6153907902,1.4117604204,0.1810058094,0.6866576938,0.5292086726,4.6097629593,1.1616318907,0.0084594494,0.00018963550773,171,45,54,53,55,207,True,0
59,0.7982666079,0.3640410187,4.6176806531,1.4509168157,0.2200442328,0.6885496957,0.5427330545,4.6097291538,1.1600061689,0.0094081458,0.000183105082835,186,54,46,39,53,192,False,1
60,0.8922229482,0.4226523701,4.6201389706,1.6153849515,0.3114134037,0.7438710122,0.5790936992,4.6134357498,1.2561045442,0.0421325168,0.000176507989917,184,46,49,40,59,194,False,2
