epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
27,0.6914682109,0.6691772425,4.6338953417,2.1213839035,0.5576327565,0.8027029441,0.8045138910,4.6423115685,2.4174749238,0.6418001634,0.000296974178272,184,60,51,45,38,194,False,10
28,0.5509593195,0.5943926803,4.6284652993,1.8750371056,0.4320808022,0.5583205599,0.7070437880,4.6339616321,2.0203069369,0.4169118007,0.000299273451532,195,45,43,47,48,183,True,0
29,0.7002523240,0.6469261870,4.6309933511,2.1075438608,0.5708670917,0.7697570341,0.8337381897,4.6409289996,2.2807858989,0.6030093963,0.000299999737735,175,51,60,54,38,203,False,1
30,0.5112166424,0.5603833605,4.6271662409,1.7934032496,0.3991399757,0.5950475070,0.7642975041,4.6359508696,2.0568122046,0.4421880075,0.000299836114086,179,47,45,58,49,199,False,2
31,0.6048547638,0.5984048323,4.6305497866,2.0376544592,0.4851738010,0.8114388429,0.7805897219,4.6405299414,2.3388419742,0.6553208892,0.000299370741653,172,52,43,59,52,206,False,3
32,0.5542942418,0.6038514089,4.6285209277,1.9776588294,0.4335239457,0.4681094661,0.7431801251,4.6321294921,1.8642354545,0.3194734396,0.000298604557633,177,52,47,60,42,201,True,0
33,0.5330522524,0.5488926667,4.6270437089,1.8934176757,0.4232737310,0.9667767374,0.8573249471,4.6440227645,2.5822640340,0.7953117453,0.000297539105019,190,56,44,43,45,188,False,1
34,0.6492252848,0.6215531738,4.6308313022,2.0556136401,0.5249146463,0.7277113526,0.9169721479,4.6390587171,2.2787369433,0.5443169173,0.000296176529491,212,40,35,39,52,166,False,2
35,0.5843138673,0.5381488750,4.6287058447,1.9159353770,0.4766840723,0.4953606540,0.7406692738,4.6330368451,1.9495177712,0.3472267979,0.000294519575094,167,49,53,57,52,211,False,3
36,0.5357042929,0.5473499610,4.6267429205,1.8846358263,0.4262343087,0.4428350460,0.7062225847,4.6309213956,1.8760566019,0.3015905244,0.000292571578714,201,31,47,47,52,177,True,0
37,0.5555709575,0.5761918590,4.6286258874,1.9722073658,0.4403325871,0.6523963586,0.8182609995,4.6349037715,2.1583713645,0.4887441614,0.000290336463357,182,39,63,53,41,196,False,1
