epoch,training_total_loss,validation_total_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,is_best,epochs_without_improvement
0,4.8503213921,4.8478825557,1.27902315635e-05,318,71,60,78,69,True,0
1,4.8405468608,4.8352793842,1.5152253116e-05,300,58,66,88,84,True,0
2,4.8159645516,4.8005671563,1.90601404356e-05,292,82,74,72,76,True,0
3,4.7884089195,4.7808292377,2.44710027459e-05,309,56,87,61,83,True,0
4,4.7760401284,4.7505990127,3.13254534608e-05,326,76,70,65,59,True,0
5,4.7628665290,4.7444208380,3.95482619791e-05,296,85,63,71,81,True,0
6,4.7489521231,4.7197188774,4.90491793723e-05,299,80,68,78,71,True,0
7,4.7354861714,4.7006250604,5.97239289073e-05,293,82,82,66,73,True,0
8,4.7235771730,4.7088351002,7.14553505281e-05,313,83,69,66,65,False,1
9,4.7193845294,4.6892279278,8.41146867396e-05,293,75,72,93,63,True,0
10,4.7083231555,4.6876893044,9.75629957774e-05,303,74,78,75,66,True,0
11,4.7059474599,4.7014035250,0.000111652676554,312,65,70,68,81,False,1
12,4.6924874191,4.6668688786,0.000126229088647,305,65,73,72,81,True,0
13,4.6923200940,4.7276675113,0.000141132249543,284,80,84,71,77,False,1
14,4.6873184979,4.7179142593,0.000156198590517,300,72,69,82,73,False,2
15,4.6795324063,4.6737496574,0.000171262751874,287,72,73,82,82,False,3
16,4.6869407980,4.6538620181,0.000186159397838,311,81,65,69,70,True,0
17,4.6791796204,4.6513024677,0.00020072503119,318,68,77,62,71,True,0
18,4.6736373933,4.6797050872,0.000214799787717,296,76,69,78,77,False,1
19,4.6707416957,4.6522860527,0.000228229190798,284,80,76,80,76,False,2
20,4.6702701069,4.6548732597,0.000240865846846,305,71,65,86,69,False,3
21,4.6755940674,4.6740435315,0.000252571063021,273,84,81,76,82,False,4
22,4.6751252373,4.6577702312,0.000263216369444,301,83,71,81,60,False,5
23,4.6746461023,4.6717126772,0.000272684929211,287,90,74,76,69,False,6
24,4.6701072622,4.6534336511,0.000280872820727,278,74,74,85,85,False,7
25,4.6694340706,4.6467109160,0.000287690178294,299,77,73,66,81,True,0
26,4.6643931690,4.6507507423,0.000293062178424,279,80,82,85,70,False,1
27,4.6621255619,4.6458976114,0.00029692986106,298,65,67,82,84,True,0
28,4.6615881824,4.6499249595,0.00029925077669,324,64,77,66,65,False,1
29,4.6613786141,4.6534475227,0.000299999895385,321,73,83,65,54,False,2
30,4.6620293560,4.6512284836,0.000299840907969,308,70,83,68,67,False,3
31,4.6605934713,4.6477575859,0.000299380162113,303,78,77,64,74,False,4
32,4.6627864230,4.6933650661,0.0002986185857,314,82,74,63,63,False,5
33,4.6629713174,4.6501502000,0.000297557712442,291,80,63,84,78,False,6
34,4.6583673618,4.6456476001,0.000296199678797,298,77,75,81,65,True,0
35,4.6539379734,4.6408279468,0.000294547219663,277,79,86,80,74,True,0
36,4.6525245865,4.6438505309,0.000292603662875,301,61,76,78,80,False,1
37,4.6525605189,4.6463491204,0.000290372922495,295,64,86,80,71,False,2
38,4.6552055282,4.6434811060,0.00028785949094,309,74,65,70,78,False,3
39,4.6499884625,4.6736505186,0.000285068429924,295,79,78,68,76,False,4
40,4.6516066974,4.6755356727,0.000282005360274,294,71,91,75,65,False,5
41,4.6511701065,4.6473189701,0.000278676450605,268,78,86,81,83,False,6
42,4.6502044249,4.6563868585,0.000275088404897,302,84,61,79,70,False,7
43,4.6512711608,4.6375686286,0.000271248448997,298,70,77,79,72,True,0
44,4.6510887562,4.6398715416,0.000267164316065,292,82,86,59,77,False,1
45,4.6491010333,4.6427155160,0.000262844231001,304,60,79,71,82,False,2
46,4.6465126204,4.6462550039,0.000258296893882,268,78,71,101,78,False,3
47,4.6465143901,4.6472152054,0.00025353146244,280,90,77,81,68,False,4
48,4.6460027503,4.6384033166,0.000248557533618,296,73,81,78,68,False,5
49,4.6435149532,4.6380328327,0.000243385124249,322,79,72,59,64,False,6
50,4.6455444426,4.6378542603,0.000238024650876,294,60,90,72,80,False,7
51,4.6408494271,4.6379088736,0.000232486908778,302,72,65,86,71,False,8
52,4.6447619080,4.6390923029,0.000226783050232,280,75,74,91,76,False,9
53,4.6378462811,4.6405949531,0.00022092456205,274,86,86,73,77,False,10
