epoch,training_total_loss,training_official_loss,training_rank_loss,validation_total_loss,validation_official_loss,validation_rank_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
44,4.6483240102,4.6480844311,0.0119793019,4.6689009530,4.6688940139,0.0003469926,0.000267099760545,180,198,False,3
45,4.6447173805,4.6444869117,0.0115261992,4.6704191435,4.6704120046,0.0003567289,0.000262776120018,186,192,False,4
46,4.6445162738,4.6443236795,0.0096321056,4.6509969802,4.6509903499,0.0003314564,0.000258225364602,173,205,True,0
47,4.6429773134,4.6427899189,0.0093659166,4.6625289372,4.6625289372,0.0000000000,0.000253456658913,188,190,False,1
48,4.6467089804,4.6465115421,0.0098687324,4.6489671071,4.6489640100,0.0001546847,0.000248479606489,188,190,True,0
49,4.6471925741,4.6469575160,0.0117532935,4.6533162253,4.6533162253,0.0000000000,0.000243304230452,170,208,False,1
50,4.6423016225,4.6420819394,0.0109839830,4.6538842655,4.6538555736,0.0014346698,0.000237940953321,202,176,False,2
51,4.6425934923,4.6423667600,0.0113367449,4.6659181050,4.6659181050,0.0000000000,0.000232400576021,192,186,False,3
52,4.6454577194,4.6452318676,0.0112914999,4.6501219977,4.6501135599,0.0004216632,0.000226694256136,202,176,False,4
53,4.6450219659,4.6447806863,0.0120650940,4.6555430639,4.6555342720,0.0004394867,0.000220833485433,182,196,False,5
54,4.6392128632,4.6390920644,0.0060363033,4.6478218805,4.6478016081,0.0010132955,0.000214830066727,190,188,True,0
55,4.6397914886,4.6396397485,0.0075886126,4.6515416327,4.6515271187,0.0007261672,0.000208696090101,199,179,False,1
56,4.6398127092,4.6396564176,0.0078172062,4.6454262416,4.6454262416,0.0000000000,0.00020244390857,210,168,True,0
57,4.6421950002,4.6420006752,0.0097147164,4.6565887860,4.6565858977,0.0001445105,0.000196086113195,173,205,False,1
58,4.6396574823,4.6394399058,0.0108799691,4.6616245724,4.6616114934,0.0006538799,0.00018963550773,193,185,False,2
59,4.6427185952,4.6424868977,0.0115829287,4.6558258465,4.6558161917,0.0004829823,0.000183105082835,193,185,False,3
60,4.6387480958,4.6385496861,0.0099210272,4.6470277695,4.6470169976,0.0005385973,0.000176507989917,182,196,False,4
61,4.6404375324,4.6401999312,0.0118815522,4.6576714743,4.6576617105,0.0004884528,0.000169857514644,180,198,False,5
62,4.6399567064,4.6397774964,0.0089628916,4.6506966273,4.6506766819,0.0009977588,0.000163167050187,193,185,False,6
63,4.6378832267,4.6377156424,0.0083785004,4.6521377654,4.6521332241,0.0002275346,0.000156450070251,165,213,False,7
64,4.6407962350,4.6405430219,0.0126629845,4.6537606512,4.6537522770,0.0004186973,0.000149720101941,198,180,False,8
65,4.6408491261,4.6406619965,0.0093579371,4.6470739138,4.6470656304,0.0004139918,0.000142990698517,192,186,False,9
66,4.6388166014,4.6386447205,0.0085879397,4.6592102959,4.6592027483,0.0003773716,0.000136275412101,188,190,False,10
