epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
27,2.1777595502,0.7124147172,4.6303695396,2.0075027444,0.5157626407,2.0286674988,0.8709364863,4.6347965286,2.0352161714,0.4184360547,0.000296974178272,184,60,51,45,38,194,False,5
28,1.9138702634,0.7183461088,4.6280960658,1.8189445091,0.4303644095,1.9060819240,0.7867871160,4.6308053834,1.9187134379,0.3946838934,0.000299273451532,195,45,43,47,48,183,True,0
29,2.2217003410,0.7150629689,4.6302952287,2.0453841062,0.5279978364,2.0098238707,0.7777415554,4.6337068149,2.0074064289,0.4252861730,0.000299999737735,175,51,60,54,38,203,False,1
30,1.7808822778,0.6755602126,4.6257765659,1.7317316192,0.3899522105,2.5239535445,0.8410586544,4.6410523914,2.3217197940,0.5974409699,0.000299836114086,179,47,45,58,49,199,False,2
31,2.1176682017,0.6548192977,4.6297201505,2.0101802349,0.4908070885,1.4864267111,0.7386634974,4.6270706495,1.7117948033,0.2413982987,0.000299370741653,172,52,43,59,52,206,True,0
32,1.8248120004,0.6499696850,4.6270223446,1.8515267114,0.3845273662,1.3708820706,0.7436286086,4.6256155741,1.6397455533,0.2011417805,0.000298604557633,177,52,47,60,42,201,True,0
33,1.6627763144,0.5987551364,4.6241873232,1.7253520867,0.3401746379,1.4744491600,0.6581742633,4.6272371156,1.7182374364,0.2418477944,0.000297539105019,190,56,44,43,45,188,False,1
34,1.8913187552,0.6297717523,4.6269295859,1.8632474261,0.4168703461,1.2636694034,0.7248982577,4.6237771625,1.5752290907,0.1655376056,0.000296176529491,212,40,35,39,52,166,True,0
35,1.7740495438,0.6258611392,4.6254267566,1.7714975366,0.3815642788,1.1891218447,0.6638069323,4.6222161793,1.5354231255,0.1443244428,0.000294519575094,167,49,53,57,52,211,True,0
36,1.8791439666,0.6074064607,4.6252278525,1.8615527178,0.4134431555,2.6983812786,0.7961003582,4.6402484712,2.3182170527,0.6900263452,0.000292571578714,201,31,47,47,52,177,False,1
37,2.0563231877,0.6642055155,4.6279058305,1.9855961661,0.4653419903,1.6857265915,0.7894661637,4.6328875042,1.8639413255,0.2979313415,0.000290336463357,182,39,63,53,41,196,False,2
38,1.8442749750,0.7182597140,4.6280875130,1.8105466498,0.3976748537,2.1342077948,0.7508415540,4.6345260030,2.0224957148,0.4863958107,0.000287818730248,174,45,49,53,57,204,False,3
39,2.0150282333,0.6887266062,4.6272780782,1.9012561841,0.4633274208,1.5151037080,0.7829390844,4.6274234227,1.7230736074,0.2484895465,0.000285023449765,191,50,48,48,41,187,False,4
40,1.9460091149,0.6934270354,4.6281350050,1.9066857774,0.4269904188,1.3109916903,0.7602030737,4.6249765442,1.6086447114,0.1773143463,0.000281956251232,190,38,47,52,51,188,False,5
41,1.6218566194,0.6144501687,4.6237108670,1.7000557935,0.3244693352,1.6267551445,0.6844833919,4.6292684101,1.7753372067,0.3010949308,0.000278623311578,191,52,34,51,50,187,False,6
42,1.4950309109,0.5788580996,4.6228443428,1.6622006313,0.2740794985,1.1937600124,0.5961249238,4.6217299053,1.5804928939,0.1421442955,0.000275031342901,192,49,51,37,49,186,False,7
43,1.6342907267,0.6078629270,4.6245762230,1.7451430389,0.3200733112,1.2638324238,0.6921332768,4.6226816541,1.5690723839,0.1704347884,0.000271187578947,190,45,45,40,58,188,False,8
44,1.7371254049,0.6103813096,4.6253735855,1.7810394764,0.3622646911,1.6093202262,0.7216485926,4.6280128388,1.8091902574,0.2801976802,0.000267099760545,185,58,49,39,47,193,False,9
45,1.8193289893,0.5928697968,4.6241076131,1.8059553961,0.3988886712,1.1163042330,0.6707649895,4.6210550263,1.4757863646,0.1221290266,0.000262776120018,181,39,53,54,51,197,True,0
46,1.6441348999,0.6376130553,4.6239384520,1.6968940320,0.3340826501,1.5467329695,0.6696585581,4.6293062301,1.7705384493,0.2637660264,0.000258225364602,174,54,50,57,43,204,False,1
47,1.6970522454,0.6068417871,4.6248270923,1.7730818186,0.3445714845,1.4132200377,0.6977682840,4.6267782484,1.7180195070,0.2073283131,0.000253456658913,173,53,46,45,61,205,False,2
48,1.8366738230,0.6561423405,4.6282387007,1.8935693465,0.3793303612,1.2137064406,0.6381437461,4.6228968439,1.5912717286,0.1452209143,0.000248479606489,189,35,54,57,43,189,False,3
49,1.7057144024,0.6218399115,4.6255257218,1.8026292570,0.3400159395,3.3659589291,0.8834599143,4.6457607224,2.7331052076,0.9113571706,0.000243304230452,180,53,44,54,47,198,False,4
50,1.6438170709,0.5996574394,4.6240756423,1.7255445025,0.3305566718,3.0113461597,0.8491445416,4.6403395744,2.4272168125,0.8139544348,0.000237940953321,193,40,50,44,51,185,False,5
51,1.8747644696,0.6469097462,4.6261708446,1.8772484581,0.4033791521,3.2713915144,0.9863262682,4.6475215004,2.7222693035,0.8564958027,0.000232400576021,197,49,42,52,38,181,False,6
52,1.9839855325,0.7004912653,4.6295390053,1.9076725043,0.4450255404,1.2030559267,0.7200839730,4.6224132583,1.5352666049,0.1457029130,0.000226694256136,202,38,45,44,49,176,False,7
53,1.8902904634,0.6330220002,4.6254684307,1.8548654551,0.4181266752,1.1879750450,0.6644654280,4.6215978986,1.5442166703,0.1414868073,0.000220833485433,183,50,39,49,57,195,False,8
54,1.4480939977,0.5495355505,4.6216569401,1.6431300646,0.2583109151,1.3060949632,0.6583210099,4.6232660657,1.5717535450,0.1942769962,0.000214830066727,186,49,41,54,48,192,False,9
55,1.4493939631,0.5319073613,4.6209726763,1.6247527978,0.2653180492,1.1674261014,0.5817906232,4.6207967032,1.4998811165,0.1505637121,0.000208696090101,193,44,43,50,48,185,False,10
