epoch,training_total_loss,validation_total_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,is_best,epochs_without_improvement
0,4.8418443731,4.8434974745,1.27902315635e-05,296,78,81,74,67,True,0
1,4.8207064571,4.8223205727,1.5152253116e-05,296,71,77,84,68,True,0
2,4.7992895626,4.7907801479,1.90601404356e-05,311,67,69,72,77,True,0
3,4.7785250581,4.7805813505,2.44710027459e-05,308,73,70,72,73,True,0
4,4.7675560529,4.7665104061,3.13254534608e-05,303,61,84,78,70,True,0
5,4.7609492308,4.7412078907,3.95482619791e-05,294,68,91,79,64,True,0
6,4.7430490135,4.7336335430,4.90491793723e-05,327,68,77,57,67,True,0
7,4.7319572372,4.7199408606,5.97239289073e-05,273,83,85,73,82,True,0
8,4.7250046954,4.7208970986,7.14553505281e-05,292,75,93,74,62,False,1
9,4.7161926295,4.6878354890,8.41146867396e-05,296,71,84,66,79,True,0
10,4.7193607388,4.7483349280,9.75629957774e-05,292,87,80,68,69,False,1
11,4.7035831349,4.7085256081,0.000111652676554,268,89,95,74,70,False,2
12,4.6925126018,4.6859401418,0.000126229088647,293,78,71,73,81,True,0
13,4.6934276715,4.7148853091,0.000141132249543,291,68,76,79,82,False,1
14,4.6907348665,4.6706108675,0.000156198590517,286,81,75,87,67,True,0
15,4.6921113097,4.6665250295,0.000171262751874,306,68,71,70,81,True,0
16,4.6808251343,4.6577763062,0.000186159397838,292,64,78,73,89,True,0
17,4.6753039520,4.6629238067,0.00020072503119,300,76,68,68,84,False,1
18,4.6741612678,4.6647489411,0.000214799787717,318,77,64,59,78,False,2
19,4.6726149937,4.6531516732,0.000228229190798,317,61,76,65,77,True,0
20,4.6756171060,4.6680260881,0.000240865846846,303,71,71,78,73,False,1
21,4.6724275839,4.6830944334,0.000252571063021,284,87,79,86,60,False,2
22,4.6722414350,4.6670171007,0.000263216369444,288,84,85,75,64,False,3
23,4.6727850229,4.6521058145,0.000272684929211,297,78,77,70,74,True,0
24,4.6681497753,4.6517546703,0.000280872820727,308,71,74,66,77,True,0
25,4.6745293060,4.6530578601,0.000287690178294,268,82,80,71,95,False,1
26,4.6696395170,4.6489909469,0.000293062178424,298,79,82,73,64,True,0
27,4.6619968574,4.6554742045,0.00029692986106,308,78,74,71,65,False,1
28,4.6597809024,4.6475458455,0.00029925077669,301,76,77,82,60,True,0
29,4.6637293028,4.6478457575,0.000299999895385,301,69,74,82,70,False,1
30,4.6607787945,4.6669591000,0.000299840907969,291,80,69,78,78,False,2
31,4.6595715228,4.6425626990,0.000299380162113,299,82,80,56,79,True,0
32,4.6564962272,4.6479005194,0.0002986185857,307,72,77,76,64,False,1
33,4.6583059298,4.6529765872,0.000297557712442,297,74,69,75,81,False,2
34,4.6551879460,4.6473854114,0.000296199678797,300,62,75,83,76,False,3
35,4.6607033518,4.6563996649,0.000294547219663,303,72,68,73,80,False,4
36,4.6569624715,4.6442317653,0.000292603662875,310,67,68,76,75,False,5
37,4.6539955907,4.6547223438,0.000290372922495,325,67,71,69,64,False,6
38,4.6569425692,4.6403604916,0.00028785949094,302,69,80,73,72,True,0
39,4.6547710784,4.6509393841,0.000285068429924,307,71,67,81,70,False,1
40,4.6514905667,4.6565496395,0.000282005360274,273,79,83,85,76,False,2
41,4.6496075976,4.6473385823,0.000278676450605,312,71,78,65,70,False,3
