epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
30,0.1054578093,0.4017632508,4.6211051429,1.7595861078,0.2510515719,0.0786588940,0.3303070633,4.6075483731,1.3199087815,0.1259747896,0.000299840907969,318,278,True,0
31,0.0960876593,0.3711168742,4.6160895008,1.5996050323,0.2186428156,0.0808932428,0.3497498283,4.6054441155,1.2553627135,0.1094327072,0.000299380162113,293,303,False,1
32,0.0940088518,0.3727130046,4.6150645154,1.5777955887,0.1946624754,0.0671775832,0.2933432858,4.6051094439,1.2290256534,0.0850892670,0.0002986185857,306,290,True,0
33,0.0925125589,0.3746403848,4.6160976935,1.5893781937,0.1758448033,0.0698916658,0.3046078430,4.6047875912,1.2736701710,0.0897009487,0.000297557712442,274,322,False,1
34,0.0984703029,0.3902318556,4.6183351734,1.6125219532,0.2042393021,0.0864118296,0.3721902564,4.6091801098,1.2939196361,0.1197377702,0.000296199678797,303,293,False,2
35,0.0990541123,0.3842498361,4.6197876578,1.6753233663,0.2220414318,0.0941024496,0.3990233045,4.6081688930,1.2800355174,0.1429778533,0.000294547219663,302,294,False,3
36,0.0806807529,0.3419844134,4.6135477188,1.5315316796,0.1228387023,0.0619141592,0.2792512231,4.6029661290,1.2036078061,0.0606391151,0.000292603662875,279,317,True,0
37,0.0805246143,0.3316181956,4.6124424102,1.5083837477,0.1420097499,0.0574122571,0.2524799734,4.6018133225,1.2104338121,0.0691626355,0.000290372922495,292,304,True,0
38,0.0856858310,0.3521188978,4.6150361964,1.5871917153,0.1526204879,0.0609680210,0.2643355799,4.6024120256,1.2174246365,0.0810090564,0.00028785949094,294,302,False,1
39,0.0803881787,0.3331270792,4.6102023221,1.4811696590,0.1376276211,0.0658727179,0.2769727637,4.6025981098,1.2481010069,0.1047816469,0.000285068429924,303,293,False,2
40,0.0770223252,0.3275038132,4.6108226264,1.4493143366,0.1152156203,0.0740483112,0.3328590968,4.6042044565,1.2183529518,0.0747648910,0.000282005360274,305,291,False,3
41,0.1015534770,0.3917101698,4.6172383168,1.6982592152,0.2321144088,0.1137353847,0.4858492857,4.6095374405,1.3598882819,0.1656552761,0.000278676450605,280,316,False,4
42,0.0999340405,0.3856567704,4.6181068804,1.6519429460,0.2280268307,0.0959434342,0.3958994642,4.6102744511,1.3249703499,0.1676354189,0.000275088404897,288,308,False,5
43,0.0901816042,0.3634761860,4.6141733835,1.5350136677,0.1748636589,0.0692525866,0.2935772453,4.6041206694,1.2393355509,0.1053713718,0.000271248448997,287,309,False,6
44,0.0879533667,0.3547093640,4.6127009296,1.5573938645,0.1701149265,0.0576614355,0.2540855922,4.6025551263,1.2083712135,0.0684431692,0.000267164316065,283,313,False,7
45,0.0815892945,0.3397916881,4.6114649549,1.4973117233,0.1363095684,0.0607492368,0.2672183249,4.6026570085,1.2040919383,0.0730556936,0.000262844231001,317,279,False,8
46,0.0833507377,0.3493868529,4.6152468144,1.5619103685,0.1347336705,0.0603299696,0.2740641621,4.6020840422,1.1775743458,0.0551713386,0.000258296893882,273,323,False,9
47,0.0769430461,0.3254301376,4.6108335649,1.4694826843,0.1185701771,0.0542687858,0.2359097178,4.6026616220,1.1777887592,0.0708683951,0.00025353146244,297,299,True,0
48,0.0730172158,0.3172077049,4.6108021096,1.4310366075,0.0957567381,0.0551379583,0.2495372549,4.6016391345,1.1671144807,0.0523050588,0.000248557533618,310,286,False,1
49,0.0721145385,0.3110082300,4.6111587198,1.4590063743,0.0991289057,0.0565199451,0.2468132628,4.6026357861,1.1882274956,0.0715729171,0.000243385124249,291,305,False,2
50,0.0697983395,0.3080733502,4.6101586291,1.4081149053,0.0818366982,0.0556510730,0.2432079102,4.6018428926,1.1676496174,0.0700949015,0.000238024650876,301,295,False,3
51,0.0658674485,0.3003568899,4.6082046432,1.3651686755,0.0579606882,0.0506746262,0.2245319995,4.6016303347,1.1558457737,0.0576822421,0.000232486908778,298,298,True,0
52,0.0714619338,0.3076822130,4.6117242743,1.4626838721,0.0992549091,0.0590129758,0.2708491648,4.6015473403,1.1377743305,0.0484314354,0.000226783050232,321,275,False,1
53,0.0730840895,0.3127847000,4.6114469567,1.4633637323,0.1052714966,0.0593107304,0.2659254012,4.6024938001,1.2052300588,0.0612564641,0.00022092456205,300,296,False,2
54,0.0750425721,0.3163096573,4.6104418991,1.4494235456,0.1178063929,0.0585186087,0.2581391683,4.6020213969,1.2079842733,0.0689077548,0.000214923242447,296,300,False,3
55,0.0746903463,0.3153405754,4.6117198995,1.5119823145,0.1162222965,0.0596542911,0.2575338992,4.6041602531,1.1983911039,0.0814751169,0.000208791177283,299,297,False,4
56,0.0856895588,0.3426523516,4.6137226380,1.5353340191,0.1715908983,0.0695252089,0.3038211918,4.6044626546,1.2577075277,0.0876096650,0.000202540715719,297,299,False,5
57,0.0825620631,0.3288341364,4.6116806389,1.5433462690,0.1679523256,0.0645136906,0.2785625969,4.6060436546,1.2189766943,0.0880117017,0.000196184445355,289,307,False,6
58,0.0759386534,0.3204743680,4.6111599775,1.4947291509,0.1184377859,0.0606409939,0.2590456170,4.6038669797,1.2116130111,0.0883186921,0.000189735166872,297,299,False,7
59,0.0705871817,0.3058186391,4.6093268971,1.3903831540,0.0942345215,0.0571725198,0.2548012441,4.6025663970,1.1901302043,0.0621227276,0.00018320586826,283,313,False,8
60,0.0691669474,0.3001582052,4.6113509108,1.4561211759,0.0913530346,0.0510357059,0.2241675132,4.6022523843,1.1616508256,0.0620220512,0.000176609698657,292,304,False,9
61,0.0633026755,0.2897052801,4.6078829413,1.3318439474,0.0536161748,0.0563667046,0.2532130838,4.6024165959,1.1713636401,0.0572408709,0.00016995994187,290,306,False,10
