epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
31,2.5543232570,0.6937571070,4.6304002943,1.9626360993,0.4529357609,2.1484899339,0.8518677961,4.6283936955,1.7458167825,0.2322995795,0.000299370741653,172,52,43,59,52,206,False,1
32,2.5726511819,0.6913642420,4.6296434428,1.9564683204,0.4779100497,2.1650960468,0.8361260244,4.6288901874,1.7538599048,0.2440109292,0.000298604557633,177,52,47,60,42,201,False,2
33,2.2898443477,0.6447780363,4.6269029183,1.7674079761,0.3934807281,2.2775009564,0.7135446940,4.6306526320,1.8403751612,0.2944168560,0.000297539105019,190,56,44,43,45,188,False,3
34,2.4080157053,0.6602855691,4.6277490621,1.8520431657,0.4239153957,3.4806564331,0.8072345013,4.6412497838,2.5167796135,0.8024299385,0.000296176529491,212,40,35,39,52,166,False,4
35,2.2905080754,0.6896679118,4.6261918885,1.7486820044,0.4038924788,2.3320302691,0.7739565668,4.6329759689,1.8915763889,0.2856625583,0.000294519575094,167,49,53,57,52,211,False,5
36,2.2349809856,0.6193412709,4.6242130396,1.7537196376,0.3573930640,2.3067746049,0.6798155762,4.6311460949,1.8391496023,0.3316618655,0.000292571578714,201,31,47,47,52,177,False,6
37,2.4841976544,0.6005721382,4.6268831056,1.9268114680,0.4372718410,1.9510467949,0.5724005892,4.6246036893,1.6185988687,0.2179678262,0.000290336463357,182,39,63,53,41,196,False,7
38,2.1301390248,0.6085419652,4.6240800499,1.6805037550,0.3279268389,1.7393226771,0.6313485276,4.6200268337,1.4919573125,0.1210956541,0.000287818730248,174,45,49,53,57,204,True,0
39,2.2306525821,0.5870084892,4.6235282308,1.7361076749,0.3771431418,3.5075813135,0.8201604241,4.6430901982,2.5664403734,0.7771088296,0.000285023449765,191,50,48,48,41,187,False,1
40,2.4198830645,0.6522242099,4.6278614846,1.8674658758,0.4219724000,1.7270413217,0.6461132231,4.6209060124,1.4797901767,0.1180284918,0.000281956251232,190,38,47,52,51,188,True,0
41,2.0674560329,0.5926972495,4.6226546298,1.6426082534,0.3063083108,1.6918637605,0.6541427028,4.6191279820,1.4584489141,0.1025862982,0.000278623311578,191,52,34,51,50,187,True,0
