epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
27,5.5303911171,0.9759697914,4.6501679516,2.7920814201,0.6850292059,5.6172780000,1.0126871590,4.6439086245,2.5126130395,0.7708320316,0.00029692986106,335,54,72,72,63,261,False,4
28,5.4883801889,0.9650968809,4.6493561476,2.7465824873,0.6460046620,5.5690588518,0.9535939430,4.6413446402,2.5157905244,0.7369953355,0.00029925077669,279,90,76,76,75,317,True,0
29,5.4554509573,0.9692410283,4.6485942898,2.6803331439,0.6130084887,5.6283480099,1.0004288562,4.6445382044,2.6126846555,0.7837240936,0.000299999895385,287,78,76,85,70,309,False,1
30,5.4620787153,0.9813686089,4.6486640809,2.7373574948,0.6171408338,5.5243351862,0.9527211220,4.6401289160,2.4150708403,0.6936620822,0.000299840907969,321,74,78,59,64,275,True,0
31,5.4105195039,0.9664542919,4.6483650688,2.6762030349,0.5688636375,5.4651749970,0.9734970300,4.6382281440,2.2636793031,0.6322475200,0.000299380162113,314,66,76,69,71,282,True,0
32,5.4184411900,0.9727181948,4.6479309645,2.6617756514,0.5759665726,5.4375233217,0.9846852360,4.6423752710,2.4569812905,0.5982112327,0.0002986185857,280,77,89,73,77,316,True,0
33,5.3642474821,0.9842853090,4.6482745945,2.6477265398,0.5191158352,5.3558041709,0.9555535587,4.6348514990,2.2617269909,0.5298419304,0.000297557712442,294,61,74,88,79,302,True,0
34,5.3342576827,0.9510842106,4.6470177734,2.5921729555,0.4970231398,5.3864586137,0.9588714884,4.6358717448,2.2111989941,0.5588126910,0.000296199678797,317,58,83,69,69,279,False,1
35,5.3459874096,0.9517245349,4.6460227902,2.5397866652,0.5096197128,5.2892412458,0.9102540101,4.6312408076,2.0537388185,0.4759493582,0.000294547219663,314,83,66,65,68,282,True,0
36,5.3148291895,0.9596924158,4.6458942106,2.5312949187,0.4769963886,5.3311638894,0.9740725051,4.6353415700,2.1860617353,0.5010077597,0.000292603662875,284,82,75,76,79,312,False,1
37,5.3695194833,0.9554764660,4.6468068257,2.6067517252,0.5316173122,5.4082660489,0.9441724706,4.6340621601,2.1848200033,0.5853693408,0.000290372922495,291,90,66,78,71,305,False,2
38,5.3804365100,0.9700177308,4.6458357069,2.5890544933,0.5405972564,5.3657470369,1.0203956551,4.6362802951,2.2853339090,0.5253876966,0.00028785949094,294,86,72,70,74,302,False,3
39,5.3548358623,0.9612341003,4.6471716158,2.5995334907,0.5154174684,5.2979395730,0.9061004659,4.6328725010,2.0941213540,0.4838470832,0.000285068429924,312,72,77,74,61,284,False,4
40,5.2794749913,0.9461044761,4.6453428460,2.4918880079,0.4449113839,5.3500765949,0.8027945618,4.6299547654,2.0908289854,0.5595631135,0.000282005360274,300,61,82,69,84,296,False,5
41,5.3061785410,0.8890039929,4.6445544646,2.5149491329,0.4838232717,5.2683943464,0.8050564001,4.6284902436,1.9973076071,0.4788928841,0.000278676450605,285,85,82,73,71,311,True,0
42,5.2287496912,0.8991380378,4.6442033652,2.4215166329,0.4047187657,5.1055844976,0.7350744845,4.6261745118,1.9028525182,0.3323952339,0.000275088404897,286,80,73,81,76,310,True,0
43,5.2240760470,0.8897535741,4.6436915398,2.4196796929,0.4024337678,5.1547176993,0.7372256935,4.6268608230,1.8899366685,0.3804115738,0.000271248448997,279,85,85,75,72,317,False,1
44,5.1752924695,0.8337608840,4.6418271961,2.3430042139,0.3667130052,5.0766732662,0.6615793519,4.6225182731,1.6642580450,0.3218389541,0.000267164316065,294,58,77,65,102,302,True,0
45,5.1507851357,0.8035223064,4.6397910086,2.2668663143,0.3502896196,4.9414323336,0.5578372641,4.6179785543,1.5708840760,0.2118862848,0.000262844231001,314,67,75,77,63,282,True,0
46,5.2052447204,0.8141453230,4.6419682151,2.3696846178,0.4004472838,5.1891883194,0.6346671914,4.6283708857,1.9352828945,0.4338839540,0.000258296893882,301,71,68,84,72,295,False,1
47,5.2414266055,0.7497231196,4.6397538441,2.3330950129,0.4517281503,5.2740357325,0.8125954688,4.6332688703,2.0769198312,0.4782478159,0.00025353146244,320,62,67,82,65,276,False,2
48,5.2044820305,0.7359284011,4.6373531962,2.2352105019,0.4199432353,5.1447266108,0.7144862228,4.6226552678,1.6860663844,0.3791742224,0.000248557533618,296,80,65,71,84,300,False,3
49,5.1343479989,0.6724314718,4.6330669230,2.0514534240,0.3667948326,5.0614672141,0.5758885819,4.6209917564,1.5641132005,0.3252980403,0.000243385124249,297,78,74,74,73,299,False,4
50,5.1649095004,0.6652557738,4.6324272348,2.0738219959,0.3994310496,5.0222255348,0.5740825634,4.6194069293,1.5657036459,0.2880020086,0.000238024650876,309,67,68,74,78,287,False,5
51,5.1279450807,0.6886525622,4.6336022063,2.0971279328,0.3566123141,5.1203137930,0.6289872961,4.6245061020,1.7181249129,0.3700101474,0.000232486908778,291,81,86,74,64,305,False,6
52,5.1433497435,0.6778444348,4.6335182254,2.0866071826,0.3742627372,4.9686113271,0.5267567069,4.6187037431,1.5249800109,0.2445562086,0.000226783050232,314,76,65,67,74,282,False,7
53,5.1413255986,0.6817962299,4.6336920437,2.1315194280,0.3712742189,5.0282133957,0.5619773911,4.6208607438,1.6063490316,0.2949572291,0.00022092456205,304,82,76,65,69,292,False,8
54,5.1475201805,0.7198464506,4.6352099188,2.1425781314,0.3683408539,4.9885640020,0.6376053892,4.6188492156,1.4622539266,0.2421934888,0.000214923242447,322,58,80,57,79,274,False,9
55,5.1313286532,0.6943248762,4.6331691230,2.0947016710,0.3592945571,5.0385353534,0.6141161315,4.6214224023,1.5909038503,0.2942895259,0.000208791177283,299,77,90,63,67,297,False,10
