epoch,training_total_loss,training_pearson_loss,training_ce_loss,training_concentration_loss,training_harmonic_loss,validation_total_loss,validation_pearson_loss,validation_ce_loss,validation_concentration_loss,validation_harmonic_loss,learning_rate,original_selected,jpeg_selected,blur_selected,gamma_selected,contrast_selected,offline_selected,is_best,epochs_without_improvement
27,1.9575347484,1.0507955295,4.6224121439,1.7473756291,0.2993072159,1.7297121070,1.0133266836,4.6192013134,1.5270466743,0.2913004291,0.00029692986106,335,54,72,72,63,261,True,0
28,1.9831668163,1.0165341260,4.6230612729,1.7798599541,0.3179642831,1.6449758372,0.9691936304,4.6201042757,1.4511371417,0.2734833312,0.00029925077669,279,90,76,76,75,317,True,0
29,1.9864058151,1.0072659406,4.6222879199,1.7849526133,0.3216708995,1.6006027476,0.9898149689,4.6177914855,1.4026398039,0.2491398643,0.000299999895385,287,78,76,85,70,309,True,0
30,1.9794071665,0.9776894090,4.6205012654,1.7838693225,0.3619145848,2.2470327693,1.0126136263,4.6333879805,2.0445099140,0.4827181527,0.000299840907969,321,74,78,59,64,275,False,1
31,2.8399771908,0.9178634338,4.6428655906,2.6564044888,0.7632295129,2.7428648905,0.9728086057,4.6450056534,2.5483032233,0.7496134213,0.000299380162113,314,66,76,69,71,282,False,2
32,2.3508136880,0.8703386932,4.6354919440,2.1767459524,0.4819913214,2.3165045744,0.9945350367,4.6365885549,2.1175975521,0.5835277221,0.0002986185857,280,77,89,73,77,316,False,3
33,2.0992814142,0.8166288673,4.6309683595,1.9359556717,0.3712181961,1.6550488209,0.8188397226,4.6204054139,1.4912809180,0.2850042616,0.000297557712442,294,61,74,88,79,302,False,4
34,2.0371042306,0.7738015940,4.6291345878,1.8823438715,0.3589332998,1.5804747900,0.7559675675,4.6174884090,1.4292812765,0.2487580473,0.000296199678797,317,58,83,69,69,279,True,0
35,1.9947231680,0.7385430236,4.6278827814,1.8470146368,0.3493543891,1.5406363227,0.6733489462,4.6153110405,1.4059665389,0.2366986919,0.000294547219663,314,83,66,65,68,282,True,0
36,1.9572384181,0.7210746948,4.6243084357,1.8130235096,0.3274819786,1.4541998188,0.5162856730,4.6119772923,1.3509426922,0.1555641047,0.000292603662875,284,82,75,76,79,312,True,0
37,2.0669579706,0.7328385499,4.6278614294,1.9203902667,0.3853685518,1.7033288788,0.7934751859,4.6229852515,1.5446338328,0.3176055672,0.000290372922495,291,90,66,78,71,305,False,1
38,2.0195657967,0.6975277166,4.6260516916,1.8800602687,0.3913278508,1.5042340306,0.6881900507,4.6149153276,1.3665959371,0.1911559348,0.00028785949094,294,86,72,70,74,302,False,2
39,1.9586854277,0.6978450342,4.6234268214,1.8191164196,0.3522669619,1.5118311520,0.6418763581,4.6149571406,1.3834559407,0.1994517538,0.000285068429924,312,72,77,74,61,284,False,3
