epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,7.9664946662,4.8494465414,3.1170480541,0.9857058828,8.6103594008,4.8585583142,3.7518011252,1.0116051123,1.27910408698e-05,187,191,True,0
1,7.8915115538,4.8478250680,3.0436866384,0.9824972254,8.0420360384,4.8572089967,3.1848272074,1.0179563783,1.51554725672e-05,192,186,True,0
2,7.9324762632,4.8469493881,3.0855268486,0.9792882024,7.9136094775,4.8507940701,3.0628154346,0.9932479154,1.90673178408e-05,192,186,True,0
3,7.9017129499,4.8499038510,3.0518091520,0.9973812400,7.9120481945,4.8480125155,3.0640357086,0.9799637210,2.44835985032e-05,199,179,True,0
4,7.8278946700,4.8488948257,2.9789997610,0.9954813845,8.2067308517,4.8497933615,3.3569375220,0.9770952588,3.13448076188e-05,167,211,False,1
5,7.8049736679,4.8486267347,2.9563467831,0.9904268375,8.0865872973,4.8519103414,3.2346770832,0.9925415567,3.95755632872e-05,192,186,False,2
6,7.8231043841,4.8486746480,2.9744296528,0.9936665363,7.9122571491,4.8459709122,3.0662862233,0.9706164610,4.908543684e-05,189,189,False,3
7,7.7192552733,4.8504719785,2.8687833049,1.0039939798,7.9344404130,4.8520903633,3.0823500838,0.9980839003,5.97699463517e-05,189,189,False,4
8,7.6803592954,4.8465935818,2.8337656682,0.9922021356,7.9103637786,4.8570323445,3.0533314364,1.0216078832,7.15117045486e-05,178,200,True,0
9,7.6104236431,4.8471434129,2.7632803223,0.9988035380,8.0166281155,4.8542391368,3.1623889912,1.0098595358,8.41817085055e-05,183,195,False,1
10,7.5103908998,4.8516877492,2.6587032086,1.0318443242,7.7746607917,4.8462859653,2.9283748490,0.9792662757,9.76407569592e-05,201,177,True,0
11,7.3961378632,4.8540804878,2.5420575268,1.0522675760,7.3031724249,4.8468562126,2.4563161827,1.0174140397,0.000111740979668,190,188,True,0
12,7.0894988933,4.8558913110,2.2336075533,1.0865405167,7.2429486138,4.8581637065,2.3847849074,1.0815983023,0.000126327462015,203,175,True,0
13,7.1117391662,4.8600564079,2.2516828170,1.1095316763,6.9705290567,4.8456464086,2.1248826299,1.0375863189,0.000141239947004,198,180,True,0
14,7.0399309239,4.8613757507,2.1785550345,1.1250773107,6.9367008028,4.8503521647,2.0863486551,1.0618386882,0.000156314595954,185,193,True,0
15,6.9196505698,4.8602544946,2.0593959434,1.1309139886,7.0207751365,4.8391770363,2.1815980207,1.0041105270,0.00017138578854,191,187,False,1
16,6.8447043858,4.8581992735,1.9865050846,1.1274091068,6.6591452372,4.8430487406,1.8160965170,1.0604058930,0.000186287942409,187,191,True,0
17,6.9563539949,4.8545545195,2.1017995347,1.0970941441,6.9906981423,4.8388893309,2.1518088806,0.9994712625,0.000200857332385,178,200,False,1
18,6.8357049069,4.8571340949,1.9785707930,1.1213747187,6.9414871261,4.8564706439,2.0850165061,1.1049439686,0.000214933889261,197,181,False,2
19,6.9143282598,4.8547206102,2.0596075531,1.1068446806,6.6537272408,4.8428581419,1.8108691216,1.0588088319,0.000228362958428,187,191,True,0
20,6.7053146816,4.8516148209,1.8537001288,1.1134889233,6.7538123312,4.8455414136,1.9082709778,1.0639093479,0.000240996999018,200,178,False,1
