epoch,lr,train_loss,val_loss,val_hr_mae
1,0.0003,3.315857389218339,3.0212038414659292,3.103925152593611
2,0.0003,3.1004641885846573,3.0228537395945643,3.250353524923995
3,0.0003,3.0855281976004627,3.03314743247564,3.3416343821245817
4,0.0003,3.0782096480431957,3.0360659735160334,3.410561501253623
5,0.0003,3.0760524955642556,3.0423476215602085,3.6412737143855285
6,0.0003,3.0785300980327284,3.044767745991343,3.65524057506286
7,0.00015,3.075619141676716,3.041440215642584,3.51667266709847
8,0.00015,3.0760518921647115,3.044296960687682,3.649883145133021
9,0.00015,3.0750094696294483,3.0442047914614045,3.607890754742609
10,0.00015,3.0749921622231744,3.0436197227703263,3.5728622108502375
11,0.00015,3.0751194198109277,3.04312390440965,3.5728619297531687
12,0.00015,3.0752450575783987,3.0448273839298095,3.6429708149238738
13,7.5e-05,3.075119110624367,3.044423307116722,3.6009784245334613
14,7.5e-05,3.0728484809732883,3.0439637058118625,3.5588035418144877
15,7.5e-05,3.07465975164253,3.043594201927221,3.5728622108502375
16,7.5e-05,3.076601475154128,3.0437179695476186,3.5728622108502375
17,7.5e-05,3.0778060505768963,3.0438016866453363,3.5658328763323626
18,7.5e-05,3.074430990219116,3.044842148899697,3.6429708149238738
19,3.75e-05,3.0762071210201656,3.0436925445635294,3.5728622108502375
20,3.75e-05,3.076747444723254,3.0442173253071005,3.5588035418144877
21,3.75e-05,3.074582013014321,3.044585260366209,3.6009784245334613
22,3.75e-05,3.075857002133521,3.044901602493901,3.6429708149238738
23,3.75e-05,3.074737929763081,3.0447527562331795,3.629095762604961
24,3.75e-05,3.0734068441836633,3.0447221553091035,3.629095762604961
25,1.875e-05,3.0742561722693043,3.043960572182853,3.5588035418144877
26,1.875e-05,3.0750549580226436,3.0445738788397376,3.6009784245334613
27,1.875e-05,3.0764187392118933,3.0447114459129843,3.6009784245334613
28,1.875e-05,3.076814118857696,3.0445346115008625,3.5728622108502375
29,1.875e-05,3.0738117330319414,3.0442112122279186,3.5588035418144877
30,1.875e-05,3.074099345964806,3.0446177793644025,3.6009784245334613
31,1e-05,3.0725906809690957,3.044814629541342,3.629095762604961
