epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,4.8434483967,4.8434483967,0.0000000000,0.0000000000,4.8556769189,4.8556769189,0.0000000000,0.0000000000,1.27910408698e-05,201,177,True,0
1,4.8326466702,4.8326466702,0.0000000000,0.0000000000,4.8438173249,4.8438173249,0.0000000000,0.0000000000,1.51554725672e-05,189,189,True,0
2,4.8207118726,4.8207118726,0.0000000000,0.0000000000,4.8182770729,4.8182770729,0.0000000000,0.0000000000,1.90673178408e-05,178,200,True,0
3,4.8047109458,4.8047109458,0.0000000000,0.0000000000,4.7931075550,4.7931075550,0.0000000000,0.0000000000,2.44835985032e-05,180,198,True,0
4,4.7877652759,4.7877652759,0.0000000000,0.0000000000,4.7994295665,4.7994295665,0.0000000000,0.0000000000,3.13448076188e-05,194,184,False,1
5,4.7693369830,4.7693369830,0.0000000000,0.0000000000,4.7862833841,4.7862833841,0.0000000000,0.0000000000,3.95755632872e-05,207,171,True,0
6,4.7472362089,4.7472362089,0.0000000000,0.0000000000,4.7642857007,4.7642857007,0.0000000000,0.0000000000,4.908543684e-05,181,197,True,0
7,4.7248722763,4.7248722763,0.0000000000,0.0000000000,4.7560634522,4.7560634522,0.0000000000,0.0000000000,5.97699463517e-05,182,196,True,0
8,4.7112292360,4.7112292360,0.0000000000,0.0000000000,4.7189951397,4.7189951397,0.0000000000,0.0000000000,7.15117045486e-05,184,194,True,0
9,4.7085087262,4.7085087262,0.0000000000,0.0000000000,4.7196898052,4.7196898052,0.0000000000,0.0000000000,8.41817085055e-05,190,188,False,1
10,4.6995023293,4.6995023293,0.0000000000,0.0000000000,4.7468909627,4.7468909627,0.0000000000,0.0000000000,9.76407569592e-05,185,193,False,2
11,4.6903621507,4.6903621507,0.0000000000,0.0000000000,4.7184325809,4.7184325809,0.0000000000,0.0000000000,0.000111740979668,190,188,True,0
12,4.6812483823,4.6812483823,0.0000000000,0.0000000000,4.6989583197,4.6989583197,0.0000000000,0.0000000000,0.000126327462015,191,187,True,0
13,4.6817725121,4.6817725121,0.0000000000,0.0000000000,4.7526238033,4.7526238033,0.0000000000,0.0000000000,0.000141239947004,202,176,False,1
14,4.6763137737,4.6763137737,0.0000000000,0.0000000000,4.7180424826,4.7180424826,0.0000000000,0.0000000000,0.000156314595954,207,171,False,2
15,4.6713779364,4.6713779364,0.0000000000,0.0000000000,4.7295515106,4.7295515106,0.0000000000,0.0000000000,0.00017138578854,187,191,False,3
16,4.6854695441,4.6854695441,0.0000000000,0.0000000000,4.7539632843,4.7539632843,0.0000000000,0.0000000000,0.000186287942409,197,181,False,4
17,4.6715120361,4.6715120361,0.0000000000,0.0000000000,4.7011338143,4.7011338143,0.0000000000,0.0000000000,0.000200857332385,196,182,False,5
18,4.6693052287,4.6693052287,0.0000000000,0.0000000000,4.6673253559,4.6673253559,0.0000000000,0.0000000000,0.000214933889261,206,172,True,0
19,4.6664815454,4.6664815454,0.0000000000,0.0000000000,4.6732250668,4.6732250668,0.0000000000,0.0000000000,0.000228362958428,197,181,False,1
20,4.6679653491,4.6679653491,0.0000000000,0.0000000000,4.6902095749,4.6902095749,0.0000000000,0.0000000000,0.000240996999018,181,197,False,2
21,4.6593267224,4.6593267224,0.0000000000,0.0000000000,4.6689131601,4.6689131601,0.0000000000,0.0000000000,0.000252697204885,202,176,False,3
22,4.6695287770,4.6695287770,0.0000000000,0.0000000000,4.6742486500,4.6742486500,0.0000000000,0.0000000000,0.000263335029626,198,180,False,4
23,4.6601098656,4.6601098656,0.0000000000,0.0000000000,4.6858359746,4.6858359746,0.0000000000,0.0000000000,0.000272793598879,197,181,False,5
24,4.6630427472,4.6630427472,0.0000000000,0.0000000000,4.7452784175,4.7452784175,0.0000000000,0.0000000000,0.000280968994381,187,191,False,6
25,4.6627250576,4.6627250576,0.0000000000,0.0000000000,4.7037977764,4.7037977764,0.0000000000,0.0000000000,0.000287771395688,185,193,False,7
26,4.6588433962,4.6588433962,0.0000000000,0.0000000000,4.6695740246,4.6695740246,0.0000000000,0.0000000000,0.000293126067003,201,177,False,8
27,4.6525541084,4.6525541084,0.0000000000,0.0000000000,4.6577239400,4.6577239400,0.0000000000,0.0000000000,0.000296974178272,189,189,True,0
28,4.6505948122,4.6505948122,0.0000000000,0.0000000000,4.6710521653,4.6710521653,0.0000000000,0.0000000000,0.000299273451532,189,189,False,1
29,4.6511527319,4.6511527319,0.0000000000,0.0000000000,4.6632865315,4.6632865315,0.0000000000,0.0000000000,0.000299999737735,181,197,False,2
30,4.6537839975,4.6537839975,0.0000000000,0.0000000000,4.6693572907,4.6693572907,0.0000000000,0.0000000000,0.000299836114086,181,197,False,3
31,4.6559624949,4.6559624949,0.0000000000,0.0000000000,4.6633254596,4.6633254596,0.0000000000,0.0000000000,0.000299370741653,189,189,False,4
32,4.6472003245,4.6472003245,0.0000000000,0.0000000000,4.6685073807,4.6685073807,0.0000000000,0.0000000000,0.000298604557633,193,185,False,5
33,4.6510317414,4.6510317414,0.0000000000,0.0000000000,4.6742691267,4.6742691267,0.0000000000,0.0000000000,0.000297539105019,188,190,False,6
34,4.6492483326,4.6492483326,0.0000000000,0.0000000000,4.6560204006,4.6560204006,0.0000000000,0.0000000000,0.000296176529491,200,178,True,0
35,4.6494153467,4.6494153467,0.0000000000,0.0000000000,4.6576208160,4.6576208160,0.0000000000,0.0000000000,0.000294519575094,190,188,False,1
36,4.6509181129,4.6509181129,0.0000000000,0.0000000000,4.7029418945,4.7029418945,0.0000000000,0.0000000000,0.000292571578714,189,189,False,2
37,4.6510245560,4.6510245560,0.0000000000,0.0000000000,4.6713290351,4.6713290351,0.0000000000,0.0000000000,0.000290336463357,182,196,False,3
38,4.6514895656,4.6514895656,0.0000000000,0.0000000000,4.6498892784,4.6498892784,0.0000000000,0.0000000000,0.000287818730248,194,184,True,0
39,4.6546548939,4.6546548939,0.0000000000,0.0000000000,4.6711528733,4.6711528733,0.0000000000,0.0000000000,0.000285023449765,178,200,False,1
40,4.6501624521,4.6501624521,0.0000000000,0.0000000000,4.6588773455,4.6588773455,0.0000000000,0.0000000000,0.000281956251232,203,175,False,2
41,4.6492416619,4.6492416619,0.0000000000,0.0000000000,4.6624904769,4.6624904769,0.0000000000,0.0000000000,0.000278623311578,186,192,False,3
42,4.6511011477,4.6511011477,0.0000000000,0.0000000000,4.6611685617,4.6611685617,0.0000000000,0.0000000000,0.000275031342901,192,186,False,4
43,4.6482772676,4.6482772676,0.0000000000,0.0000000000,4.6663333166,4.6663333166,0.0000000000,0.0000000000,0.000271187578947,196,182,False,5
44,4.6452966519,4.6452966519,0.0000000000,0.0000000000,4.6558367548,4.6558367548,0.0000000000,0.0000000000,0.000267099760545,195,183,False,6
45,4.6420641879,4.6420641879,0.0000000000,0.0000000000,4.6474517232,4.6474517232,0.0000000000,0.0000000000,0.000262776120018,174,204,True,0
46,4.6469766728,4.6469766728,0.0000000000,0.0000000000,4.6557230677,4.6557230677,0.0000000000,0.0000000000,0.000258225364602,182,196,False,1
47,4.6487066859,4.6487066859,0.0000000000,0.0000000000,4.6844363394,4.6844363394,0.0000000000,0.0000000000,0.000253456658913,194,184,False,2
48,4.6460408609,4.6460408609,0.0000000000,0.0000000000,4.6536725680,4.6536725680,0.0000000000,0.0000000000,0.000248479606489,192,186,False,3
49,4.6448119658,4.6448119658,0.0000000000,0.0000000000,4.6633208456,4.6633208456,0.0000000000,0.0000000000,0.000243304230452,197,181,False,4
50,4.6421766584,4.6421766584,0.0000000000,0.0000000000,4.6574144727,4.6574144727,0.0000000000,0.0000000000,0.000237940953321,175,203,False,5
51,4.6437651342,4.6437651342,0.0000000000,0.0000000000,4.6549339113,4.6549339113,0.0000000000,0.0000000000,0.000232400576021,200,178,False,6
52,4.6394185894,4.6394185894,0.0000000000,0.0000000000,4.6536545481,4.6536545481,0.0000000000,0.0000000000,0.000226694256136,190,188,False,7
53,4.6417777223,4.6417777223,0.0000000000,0.0000000000,4.6524361974,4.6524361974,0.0000000000,0.0000000000,0.000220833485433,192,186,False,8
54,4.6432169606,4.6432169606,0.0000000000,0.0000000000,4.6496630669,4.6496630669,0.0000000000,0.0000000000,0.000214830066727,199,179,False,9
55,4.6446504820,4.6446504820,0.0000000000,0.0000000000,4.6513288225,4.6513288225,0.0000000000,0.0000000000,0.000208696090101,176,202,False,10
