epoch,training_total_loss,training_official_component,training_concentration_loss,training_pearson_loss,validation_total_loss,validation_official_component,validation_concentration_loss,validation_pearson_loss,learning_rate,original_selected,offline_selected,is_best,epochs_without_improvement
0,8.0243277222,4.8513521139,3.1729753585,0.9942731163,8.6782701674,4.8552609852,3.8230091640,1.0095680521,1.27910408698e-05,184,194,True,0
1,7.9838035674,4.8462236319,3.1375800037,0.9702705918,8.1339088485,4.8455728485,3.2883359864,0.9614235492,1.51554725672e-05,175,203,True,0
2,7.8413183222,4.8445216613,2.9967968073,0.9729050764,7.9912225814,4.8401190622,3.1511035056,0.9445109538,1.90673178408e-05,189,189,True,0
3,7.7073985710,4.8405856556,2.8668128826,0.9600454518,7.7294353076,4.8421731631,2.8872621286,0.9559588773,2.44835985032e-05,196,182,True,0
4,7.6533265265,4.8351989474,2.8181275880,0.9390199175,7.9210934230,4.8440062023,3.0770872911,0.9626589287,3.13448076188e-05,171,207,False,1
5,7.5267238365,4.8288668224,2.6978568514,0.9145273383,7.5251842408,4.8357138134,2.6894704592,0.9406355881,3.95755632872e-05,203,175,True,0
6,7.5907889068,4.8251664702,2.7656224808,0.8934350521,7.8793105534,4.8332593918,3.0460510935,0.9160834937,4.908543684e-05,189,189,False,1
7,7.3135873578,4.8162400962,2.4973471745,0.8684210585,7.5887438638,4.8323539098,2.7563899381,0.9237685465,5.97699463517e-05,188,190,False,2
8,7.2449913681,4.8114012865,2.4335900766,0.8524158654,7.4322265897,4.8221219653,2.6101045926,0.8863185894,7.15117045486e-05,176,202,True,0
9,6.9674631124,4.7995277410,2.1679353588,0.8087796026,7.2753302165,4.8250317483,2.4502984592,0.9082827262,8.41817085055e-05,181,197,True,0
10,7.0820268575,4.7956562244,2.2863704073,0.7858670095,7.5495790663,4.8318424225,2.7177366438,0.9235009886,9.76407569592e-05,209,169,False,1
