epoch,lr,train_loss,val_loss,val_hr_mae
1,0.0003,3.3324861206833716,2.8959275964486575,3.1632109923728566
2,0.0003,3.098670756830095,2.876861682877432,2.996732071935592
3,0.0003,3.0888266027833726,2.869591395060221,3.0176567887171
4,0.0003,3.0890869969930024,2.861840019912306,2.8924707774166523
5,0.0003,3.086193354042468,2.8594346549371124,2.8934872280068835
6,0.0003,3.087749481095326,2.8631695489960194,2.9369985299371275
7,0.0003,3.086242574486431,2.860465896409663,2.8961001614426007
8,0.0003,3.0888966184080506,2.859241418460917,2.91827266157917
9,0.0003,3.0865361453425737,2.8551822129348747,2.857668159707967
10,0.0003,3.086622027260614,2.857668678533743,2.92442464264465
11,0.0003,3.0886901849117976,2.8575583205388373,2.923192508588465
12,0.0003,3.087096479597949,2.8540603944149554,2.832980849932073
13,0.0003,3.085915506587309,2.8515364920464332,2.8255854122975945
14,0.0003,3.086824043212535,2.8553168139513323,2.8625970778254546
15,0.0003,3.087262710535301,2.8601110986991922,2.90843125119749
16,0.0003,3.0889223341142693,2.8559205161931773,2.8627993944969323
17,0.0003,3.088804625406382,2.856706371482848,2.8529608673859017
18,0.0003,3.0885346441766397,2.854335622754574,2.842837922381556
19,0.00015,3.0868614674672963,2.8572192641731866,2.8997819615209437
20,0.00015,3.0865905409250884,2.8573322656492657,2.8997819615209437
21,0.00015,3.086364462531764,2.857234990242296,2.9096390339704263
22,0.00015,3.0858091207773124,2.8581892024203635,2.9194957122282577
23,0.00015,3.0869759105551124,2.85662523263073,2.856657343347887
24,0.00015,3.0865681103146434,2.8560161756650557,2.8627993944969323
25,7.5e-05,3.085415690694083,2.858352739783134,2.9182635781720725
26,7.5e-05,3.0856450683665724,2.859520790826438,2.9084152072369416
27,7.5e-05,3.085207121591854,2.856241745492087,2.8628003929016606
28,7.5e-05,3.086726591774944,2.8568312391303374,2.88499635284672
29,7.5e-05,3.0856988758146433,2.856290213047665,2.8628003929016606
30,7.5e-05,3.0873009454661546,2.858221701767246,2.9194957122282577
31,3.75e-05,3.085933062927043,2.856451314443905,2.861584302806024
32,3.75e-05,3.0871845618998437,2.856880550766806,2.892389230977261
33,3.75e-05,3.0868034555962294,2.857119073690756,2.8985498274647585
34,3.75e-05,3.087653546963098,2.8549731606937345,2.856436013352877
35,3.75e-05,3.0836495512201307,2.858276749941953,2.9194957122282577
36,3.75e-05,3.0842163592940826,2.8569343339560636,2.8948534990896317
37,1.875e-05,3.0887698936144865,2.856675203394494,2.856657343347887
38,1.875e-05,3.085199597673067,2.858557783442999,2.9182635781720725
39,1.875e-05,3.083904884446342,2.8580230619199605,2.9145671760035166
40,1.875e-05,3.0878068230128313,2.8566603893244307,2.8578894774040724
41,1.875e-05,3.086339305005513,2.8574964633927236,2.9121033020827967
42,1.875e-05,3.085553583056231,2.8579539477932876,2.9157993100597017
43,1e-05,3.0859164423206935,2.8578613020231205,2.9157993100597017
