model,protocol,status,eval_val_model_mae,eval_val_chrom_mae,eval_test_model_mae,eval_test_chrom_mae,params,epochs_run,reach_samples,best_val_hr_mae
branch1_projector,old,ok,1.7859988487046627,1.9867534268813078,,,3,43,1,2.8095779442446402
branch1_projector,prism,ok,0.7692841051759182,2.052269848240953,,,3,43,1,2.8095779442446402
branch1_projector,toolbox,ok,0.4628719736176261,0.6642781291645468,,,3,43,1,2.8095779442446402
branch2_tcn_rf31_h8,old,ok,1.0742659236048215,1.9867534268813078,,,1169,100,29,2.230271344351733
branch2_tcn_rf31_h8,prism,ok,0.7225602128855299,2.052269848240953,,,1169,100,29,2.230271344351733
branch2_tcn_rf31_h8,toolbox,ok,0.7243712676273447,0.6642781291645468,,,1169,100,29,2.230271344351733
